Class,Lines,Lines,Lines,Lines,Average,Average,Average,Maximum,Ratio,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC
CudaCustomManyParticleForceInfo,32,0,32,0,5,0,1,4,0.00%,19,1,1,2,0,10,5,1,5
CudaCustomNonbondedForceInfo,44,0,44,0,7,0,2,5,0.00%,40,1,1,2,0,10,5,2,5
CudaCustomTorsionForceInfo,30,0,30,0,6,0,1,3,0.00%,0,1,1,2,0,9,4,1,4
CudaDrudeForceInfo,57,0,57,0,13,0,2,5,0.00%,0,1,1,2,0,9,4,1,4
CudaGayBerneForceInfo,51,0,51,0,9,0,1,4,0.00%,0,1,1,2,0,10,5,1,5
CudaGBSAOBCForceInfo,13,0,13,0,4,0,1,1,0.00%,0,1,1,1,0,7,2,1,2
CudaHarmonicAngleForceInfo,26,0,26,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
CudaHarmonicBondForceInfo,25,0,25,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
CudaNonbondedForceInfo,31,0,31,0,5,0,1,1,0.00%,0,1,1,2,0,10,5,1,5
CudaPeriodicTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
CudaRBTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,9,4,1,4
ExampleFunction,22,0,22,0,5,0,2,5,0.00%,0,1,1,0,0,9,4,0,4
ExtractMatrixTask,32,2,29,1,10,0,3,6,0.03%,0,1,1,2,0,3,2,10,2
fvec4,86,1,85,0,2,0,1,1,0.00%,3,0,0,1,0,26,26,1,26
fvec4,76,1,75,0,2,0,1,1,0.00%,7,0,0,0,0,26,26,1,26
fvec4,93,2,90,2,3,0,1,5,0.02%,3,0,0,1,0,26,26,1,26
fvec8,77,1,76,0,2,0,1,1,0.00%,3,0,0,1,0,27,27,1,27
IO,11,0,11,0,3,0,1,1,0.00%,50,1,1,1,0,4,2,2,2
irr::core::array,416,110,219,97,8,0,1,5,0.44%,66,0,0,0,0,30,30,7,30
irr::core::string,626,156,377,95,10,0,2,6,0.25%,42,0,0,0,0,41,41,3,41
irr::io::CFileReadCallBack,60,11,42,7,6,0,1,2,0.17%,33,1,1,0,0,9,6,3,6
irr::io::CXMLReaderImpl,791,171,519,123,18,1,3,11,0.24%,86,2,1,3,0,52,35,12,35
irr::io::IFileReadCallBack,16,3,7,6,1,0,1,1,0.86%,0,0,0,0,2,3,3,0,3
irr::io::IIrrXMLReader,93,17,21,55,1,0,1,1,2.62%,0,1,1,0,1,17,17,0,17
irr::io::IXMLBase,3,0,3,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0
ivec4,74,1,73,0,2,0,1,1,0.00%,4,0,0,0,0,24,24,1,24
ivec4,70,1,69,0,2,0,1,1,0.00%,12,0,0,0,0,24,24,1,24
ivec4,82,2,80,1,3,0,1,5,0.01%,4,0,0,1,0,24,24,1,24
ivec8,32,1,31,0,2,0,1,1,0.00%,8,0,0,1,0,12,12,1,12
JAMA::Cholesky,159,26,102,8,24,1,4,8,0.08%,33,0,0,2,0,6,6,2,6
JAMA::Eigenvalue,953,151,670,141,84,7,14,70,0.21%,62,0,0,2,0,10,10,9,10
JAMA::LU,288,67,173,48,21,1,5,12,0.28%,50,0,0,2,0,10,10,5,10
JAMA::QR,284,49,178,62,28,2,7,13,0.35%,17,0,0,2,0,7,7,4,7
JAMA::SVD,496,68,380,50,57,5,12,88,0.13%,52,0,0,2,0,8,8,5,8
Lepton::CompiledExpression,183,8,135,23,12,0,3,8,0.17%,78,0,0,5,0,15,15,11,15
Lepton::CustomFunction,28,0,9,19,2,0,1,1,2.11%,0,0,0,0,18,5,5,0,5
Lepton::Exception,12,0,12,0,2,0,1,1,0.00%,33,1,1,0,0,4,3,1,3
Lepton::ExpressionProgram,95,0,75,20,5,0,1,4,0.27%,54,0,0,5,0,11,11,3,11
Lepton::ExpressionTreeNode,110,0,76,34,4,0,2,7,0.45%,38,0,0,3,0,13,13,2,13
Lepton::Operation,1320,2,1278,40,2,0,1,1,0.03%,0,0,0,5,40,11,11,0,11
Lepton::Operation::Abs,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Acos,31,0,31,0,3,0,1,1,0.00%,0,1,1,9,0,18,7,0,7
Lepton::Operation::Add,30,0,30,0,2,0,1,1,0.00%,0,1,1,2,0,20,9,0,9
Lepton::Operation::AddConstant,35,0,35,0,3,0,1,1,0.00%,33,1,1,2,0,20,9,1,9
Lepton::Operation::Asin,30,0,30,0,3,0,1,1,0.00%,0,1,1,8,0,18,7,0,7
Lepton::Operation::Atan,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Ceil,24,0,24,0,2,0,1,1,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Constant,35,0,35,0,3,0,1,1,0.00%,33,1,1,2,0,20,9,1,9
Lepton::Operation::Cos,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Cosh,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Cot,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Csc,29,0,29,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Cube,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Custom,55,0,55,0,4,0,1,3,0.00%,47,1,1,6,0,22,11,4,11
Lepton::Operation::Delta,24,0,24,0,2,0,1,2,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Divide,31,0,31,0,3,0,1,1,0.00%,0,1,1,5,0,19,8,0,8
Lepton::Operation::Erf,31,0,31,0,3,0,1,1,0.00%,0,1,1,7,0,19,8,0,8
Lepton::Operation::Erfc,31,0,31,0,3,0,1,1,0.00%,0,1,1,7,0,19,8,0,8
Lepton::Operation::Exp,26,0,26,0,3,0,1,1,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Floor,25,1,24,0,2,0,1,1,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Log,26,0,26,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Max,30,0,29,1,3,0,1,1,0.03%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Min,30,0,29,1,3,0,1,1,0.03%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Multiply,32,0,32,0,3,0,1,1,0.00%,0,1,1,3,0,20,9,0,9
Lepton::Operation::MultiplyConstant,36,0,36,0,3,0,1,1,0.00%,22,1,1,2,0,20,9,1,9
Lepton::Operation::Negate,24,0,24,0,2,0,1,1,0.00%,0,1,1,2,0,18,7,0,7
Lepton::Operation::Power,38,0,38,0,4,0,1,1,0.00%,0,1,1,6,0,19,8,0,8
Lepton::Operation::PowerConstant,65,1,63,1,5,0,1,5,0.02%,63,1,1,4,0,21,10,3,10
Lepton::Operation::Reciprocal,28,0,28,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Sec,28,0,28,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Select,28,0,28,0,3,0,1,2,0.00%,0,1,1,2,0,18,7,0,7
Lepton::Operation::Sin,26,0,26,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Sinh,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Sqrt,28,0,28,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Square,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Step,24,0,24,0,2,0,1,2,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Subtract,27,0,27,0,2,0,1,1,0.00%,0,1,1,2,0,19,8,0,8
Lepton::Operation::Tan,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Tanh,29,0,29,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Variable,35,0,35,0,3,0,1,2,0.00%,25,1,1,5,0,19,8,1,8
Lepton::ParsedExpression,339,1,286,106,14,3,5,63,0.37%,88,0,0,22,0,26,19,1,26
Lepton::Parser,355,19,316,20,41,1,11,32,0.06%,0,0,0,46,0,15,7,0,15
Lepton::ParseToken,16,1,15,0,2,0,1,1,0.00%,33,0,0,0,0,3,3,2,3
OpenCLCMAPTorsionForceInfo,29,0,29,0,6,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomAngleForceInfo,29,0,29,0,6,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomBondForceInfo,28,0,28,0,5,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomCentroidBondForceInfo,42,0,42,0,9,0,2,7,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomCompoundBondForceInfo,24,0,24,0,4,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLCustomExternalForceInfo,31,0,31,0,12,0,3,5,0.00%,0,1,1,2,0,9,2,2,2
OpenCLCustomGBForceInfo,30,0,30,0,5,0,1,3,0.00%,19,1,1,2,0,12,5,1,5
OpenCLCustomHbondForceInfo,75,0,75,0,14,0,3,11,0.00%,19,1,1,2,0,12,5,1,5
OpenCLCustomManyParticleForceInfo,32,0,32,0,5,0,1,4,0.00%,19,1,1,2,0,12,5,1,5
OpenCLCustomNonbondedForceInfo,44,0,44,0,7,0,2,5,0.00%,40,1,1,2,0,12,5,2,5
OpenCLCustomTorsionForceInfo,30,0,30,0,6,0,1,3,0.00%,0,1,1,2,0,11,4,1,4
OpenCLDrudeForceInfo,57,0,57,0,13,0,2,5,0.00%,0,1,1,2,0,11,4,1,4
OpenCLGayBerneForceInfo,51,0,51,0,9,0,1,4,0.00%,0,1,1,2,0,12,5,1,5
OpenCLGBSAOBCForceInfo,13,0,13,0,4,0,1,1,0.00%,0,1,1,1,0,9,2,1,2
OpenCLHarmonicAngleForceInfo,26,0,26,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLHarmonicBondForceInfo,25,0,25,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLNonbondedForceInfo,31,0,31,0,5,0,1,1,0.00%,0,1,1,2,0,12,5,1,5
OpenCLPeriodicTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenCLRBTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,2,0,11,4,1,4
OpenMM::AlignedArray,57,0,39,18,4,0,1,3,0.46%,55,0,0,0,0,9,9,3,9
OpenMM::AmoebaAngleForce,208,14,99,95,3,0,1,1,0.96%,81,1,1,3,0,26,17,6,17
OpenMM::AmoebaAngleForce::AngleInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,5,2
OpenMM::AmoebaAngleForceImpl,43,0,42,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaAngleForceProxy,55,4,51,0,16,0,3,6,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaBondForce,162,11,79,72,3,0,1,1,0.91%,73,1,1,4,0,22,13,4,13
OpenMM::AmoebaBondForce::BondInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,4,2
OpenMM::AmoebaBondForceImpl,54,1,52,2,4,0,1,2,0.04%,50,1,1,8,0,18,10,2,10
OpenMM::AmoebaBondForceProxy,49,2,47,0,14,0,3,6,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaCudaKernelFactory,43,12,31,0,39,0,12,12,0.00%,0,1,1,28,0,3,1,0,1
OpenMM::AmoebaGeneralizedKirkwoodForce,184,17,91,76,3,0,1,1,0.84%,83,1,1,4,0,27,18,7,18
OpenMM::AmoebaGeneralizedKirkwoodForce::ParticleInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,3,2
OpenMM::AmoebaGeneralizedKirkwoodForceImpl,51,3,47,2,4,0,1,3,0.04%,44,1,1,9,0,17,9,2,9
OpenMM::AmoebaGeneralizedKirkwoodForceProxy,56,5,49,2,16,0,2,5,0.04%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaInPlaneAngleForce,216,14,104,98,3,0,1,1,0.94%,80,1,1,4,0,26,17,6,17
OpenMM::AmoebaInPlaneAngleForce::AngleInfo,13,0,13,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,6,2
OpenMM::AmoebaInPlaneAngleForceImpl,43,0,42,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaInPlaneAngleForceProxy,55,4,51,0,16,0,3,6,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaMultipoleForce,652,67,296,289,5,0,1,3,0.98%,91,1,1,5,0,50,41,15,41
OpenMM::AmoebaMultipoleForce::MultipoleInfo,43,9,34,0,15,0,1,1,0.00%,4,0,0,2,0,2,2,11,2
OpenMM::AmoebaMultipoleForceImpl,231,20,193,19,10,0,2,13,0.10%,79,1,1,11,0,29,18,2,21
OpenMM::AmoebaMultipoleForceProxy,154,26,127,1,49,0,5,10,0.01%,0,1,1,6,0,17,3,0,3
OpenMM::AmoebaOutOfPlaneBendForce,214,16,103,95,3,0,1,1,0.92%,80,1,1,4,0,26,17,6,17
OpenMM::AmoebaOutOfPlaneBendForce::OutOfPlaneBendInfo,14,1,13,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,5,2
OpenMM::AmoebaOutOfPlaneBendForceImpl,43,0,42,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaOutOfPlaneBendForceProxy,53,2,51,0,15,0,3,6,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaPiTorsionForce,134,6,67,61,4,0,1,1,0.91%,55,1,1,4,0,18,9,2,9
OpenMM::AmoebaPiTorsionForce::PiTorsionInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,7,2
OpenMM::AmoebaPiTorsionForceImpl,43,0,42,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaPiTorsionForceProxy,43,0,43,0,12,0,3,6,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaReferenceAngleForce,277,41,156,80,26,1,2,7,0.51%,57,0,0,3,0,7,7,2,7
OpenMM::AmoebaReferenceBondForce,164,29,81,54,16,1,1,3,0.67%,50,0,0,3,0,6,6,2,6
OpenMM::AmoebaReferenceForce,200,31,86,83,6,0,1,2,0.97%,0,0,0,2,0,15,2,0,15
OpenMM::AmoebaReferenceGeneralizedKirkwoodForce,371,48,179,144,6,0,1,9,0.80%,88,0,0,1,0,25,25,12,25
OpenMM::AmoebaReferenceGeneralizedKirkwoodMultipoleForce,2853,455,2196,202,166,5,3,17,0.09%,88,1,1,5,0,116,24,20,24
OpenMM::AmoebaReferenceInPlaneAngleForce,321,53,182,86,33,1,2,7,0.47%,57,0,0,4,0,7,7,2,7
OpenMM::AmoebaReferenceKernelFactory,44,12,30,2,40,2,12,12,0.07%,0,1,1,27,0,3,1,0,1
OpenMM::AmoebaReferenceMultipoleForce,3088,367,1929,807,33,2,3,18,0.42%,96,0,0,8,2,92,92,30,92
OpenMM::AmoebaReferenceMultipoleForce::MultipoleParticleData,13,0,13,0,0,0,0,0,0.00%,0,0,0,1,0,0,0,10,0
OpenMM::AmoebaReferenceMultipoleForce::TransformedMultipole,6,0,6,0,0,0,0,0,0.00%,0,0,0,1,0,0,0,3,0
OpenMM::AmoebaReferenceOutOfPlaneBendForce,289,50,168,72,39,3,4,16,0.43%,50,0,0,3,0,6,6,2,6
OpenMM::AmoebaReferencePiTorsionForce,282,56,164,62,38,1,3,9,0.38%,50,0,0,3,0,6,6,2,6
OpenMM::AmoebaReferencePmeMultipoleForce,2323,280,1704,339,51,3,5,18,0.20%,89,1,1,9,0,147,55,19,55
OpenMM::AmoebaReferenceStretchBendForce,237,39,131,67,29,2,3,10,0.51%,50,0,0,3,0,6,6,2,6
OpenMM::AmoebaReferenceTorsionTorsionForce,680,133,371,176,54,4,4,15,0.47%,60,0,0,3,0,10,10,2,10
OpenMM::AmoebaReferenceVdwForce,634,114,321,199,14,1,1,8,0.62%,90,0,0,6,0,28,28,10,28
OpenMM::AmoebaReferenceWcaDispersionForce,395,74,267,54,78,1,6,19,0.20%,57,0,0,3,0,5,5,8,5
OpenMM::AmoebaStretchBendForce,147,6,77,64,4,0,1,1,0.83%,55,1,1,4,0,18,9,2,9
OpenMM::AmoebaStretchBendForce::StretchBendInfo,14,0,14,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,8,2
OpenMM::AmoebaStretchBendForceImpl,43,0,42,2,3,0,1,2,0.05%,50,1,1,7,0,17,9,2,9
OpenMM::AmoebaStretchBendForceProxy,53,3,50,0,15,0,3,7,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaTorsionTorsionForce,301,31,189,81,4,0,1,2,0.43%,63,1,1,5,0,20,11,3,11
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionGridInfo,130,20,104,6,19,1,5,25,0.06%,50,0,0,3,0,6,6,4,6
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionInfo,17,3,14,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,7,2
OpenMM::AmoebaTorsionTorsionForceImpl,122,17,98,8,12,0,2,12,0.08%,61,1,1,9,0,17,8,2,9
OpenMM::AmoebaTorsionTorsionForceProxy,94,11,76,7,29,2,4,7,0.09%,0,1,1,5,0,17,3,0,3
OpenMM::AmoebaVdwForce,298,27,137,134,4,0,1,4,0.98%,85,1,1,4,0,31,22,8,22
OpenMM::AmoebaVdwForce::VdwInfo,14,0,14,0,4,0,1,1,0.00%,19,0,0,0,0,2,2,5,2
OpenMM::AmoebaVdwForceImpl,234,16,185,43,21,3,2,16,0.23%,55,1,1,12,0,18,9,2,10
OpenMM::AmoebaVdwForceProxy,73,11,61,1,22,0,3,6,0.02%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaWcaDispersionForce,183,9,129,45,3,0,1,1,0.35%,86,1,1,4,0,33,24,9,24
OpenMM::AmoebaWcaDispersionForce::WcaDispersionInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,2,2
OpenMM::AmoebaWcaDispersionForceImpl,133,14,103,17,9,0,1,4,0.17%,59,1,1,9,0,19,9,2,11
OpenMM::AmoebaWcaDispersionForceProxy,62,7,55,0,18,0,2,5,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::AndersenThermostat,101,0,45,56,3,0,1,1,1.24%,75,1,1,2,0,20,9,3,11
OpenMM::AndersenThermostatImpl,77,4,65,8,6,0,1,5,0.12%,66,1,1,8,0,17,7,2,9
OpenMM::AndersenThermostatProxy,32,0,32,0,8,0,2,4,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::ApplyAndersenThermostatKernel,21,0,10,11,2,0,1,1,1.10%,0,1,1,4,3,9,3,0,4
OpenMM::ApplyConstraintsKernel,28,0,11,17,2,0,1,1,1.55%,0,1,1,3,3,10,4,0,5
OpenMM::ApplyMonteCarloBarostatKernel,35,0,11,24,2,0,1,1,2.18%,0,1,1,4,3,10,4,0,5
OpenMM::BrownianIntegrator,131,0,67,64,4,0,1,3,0.96%,77,1,1,6,0,24,12,4,12
OpenMM::BrownianIntegratorProxy,28,1,27,0,7,0,1,2,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::CalcAmoebaAngleForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaBondForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaGeneralizedKirkwoodForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaInPlaneAngleForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaMultipoleForceKernel,55,9,18,28,2,0,1,1,1.56%,0,1,1,5,2,16,10,0,11
OpenMM::CalcAmoebaOutOfPlaneBendForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaPiTorsionForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaStretchBendForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaTorsionTorsionForceKernel,29,5,10,14,2,0,1,1,1.40%,0,1,1,4,2,9,3,0,4
OpenMM::CalcAmoebaVdwForceKernel,35,4,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcAmoebaWcaDispersionForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,4,2,10,4,0,5
OpenMM::CalcCMAPTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomAngleForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomCentroidBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,3,10,4,0,5
OpenMM::CalcCustomCompoundBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomExternalForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomGBForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,4,10,4,0,5
OpenMM::CalcCustomHbondForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,5,10,4,0,5
OpenMM::CalcCustomManyParticleForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,4,10,4,0,5
OpenMM::CalcCustomNonbondedForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,4,6,10,4,0,5
OpenMM::CalcCustomTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcDrudeForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,3,10,4,0,5
OpenMM::CalcForcesAndEnergyKernel,39,0,11,28,2,0,1,1,2.55%,0,1,1,3,6,10,4,0,5
OpenMM::CalcGayBerneForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,4,10,4,0,5
OpenMM::CalcGBSAOBCForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,4,10,4,0,5
OpenMM::CalcHarmonicAngleForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,6,10,4,0,5
OpenMM::CalcHarmonicBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,5,10,4,0,5
OpenMM::CalcNonbondedForceKernel,49,0,19,30,2,0,1,1,1.58%,0,1,1,4,6,11,5,0,6
OpenMM::CalcPeriodicTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,6,10,4,0,5
OpenMM::CalcPmeReciprocalForceKernel,59,0,18,41,2,0,1,1,2.28%,0,1,1,2,1,11,5,0,6
OpenMM::CalcPmeReciprocalForceKernel::IO,16,0,5,11,0,0,0,0,2.20%,0,0,0,0,4,2,2,0,2
OpenMM::CalcRBTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,4,6,10,4,0,5
OpenMM::CMAPTorsionForce,209,0,108,101,5,0,1,3,0.94%,71,1,1,5,0,22,13,3,13
OpenMM::CMAPTorsionForce::CMAPTorsionInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,9,2
OpenMM::CMAPTorsionForce::MapInfo,11,0,11,0,3,0,1,1,0.00%,25,0,0,1,0,2,2,2,2
OpenMM::CMAPTorsionForceImpl,138,10,119,10,12,0,2,16,0.08%,59,1,1,9,0,19,10,2,11
OpenMM::CMAPTorsionForceProxy,62,0,62,0,18,0,4,8,0.00%,0,1,1,5,0,17,3,0,3
