Class,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC,bug
OpenMM::AmoebaPiTorsionForceImpl,50,1,1,7,0,17,9,2,9,0
OpenMM::AmoebaPiTorsionForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaReferenceAngleForce,57,0,0,3,0,7,7,2,7,0
OpenMM::AmoebaReferenceBondForce,50,0,0,3,0,6,6,2,6,0
OpenMM::AmoebaReferenceForce,0,0,0,2,0,15,2,0,15,0
OpenMM::AmoebaReferenceGeneralizedKirkwoodForce,88,0,0,1,0,25,25,12,25,0
OpenMM::AmoebaReferenceGeneralizedKirkwoodMultipoleForce,88,1,1,5,0,116,24,20,24,0
OpenMM::AmoebaReferenceInPlaneAngleForce,57,0,0,4,0,7,7,2,7,0
OpenMM::AmoebaReferenceKernelFactory,0,1,1,27,0,3,1,0,1,0
OpenMM::AmoebaReferenceMultipoleForce,96,0,0,8,2,92,92,30,92,0
OpenMM::AmoebaReferenceMultipoleForce::MultipoleParticleData,0,0,0,1,0,0,0,10,0,0
OpenMM::AmoebaReferenceMultipoleForce::TransformedMultipole,0,0,0,1,0,0,0,3,0,0
OpenMM::AmoebaReferenceOutOfPlaneBendForce,50,0,0,3,0,6,6,2,6,0
OpenMM::AmoebaReferencePiTorsionForce,50,0,0,3,0,6,6,2,6,0
OpenMM::AmoebaReferencePmeMultipoleForce,89,1,1,9,0,147,55,19,55,0
OpenMM::AmoebaReferenceStretchBendForce,50,0,0,3,0,6,6,2,6,0
OpenMM::AmoebaReferenceTorsionTorsionForce,60,0,0,3,0,10,10,2,10,0
OpenMM::AmoebaReferenceVdwForce,90,0,0,6,0,28,28,10,28,0
OpenMM::AmoebaReferenceWcaDispersionForce,57,0,0,3,0,5,5,8,5,0
OpenMM::AmoebaStretchBendForce,55,1,1,4,0,18,9,2,9,0
OpenMM::AmoebaStretchBendForce::StretchBendInfo,0,0,0,0,0,2,2,8,2,0
OpenMM::AmoebaStretchBendForceImpl,50,1,1,7,0,17,9,2,9,0
OpenMM::AmoebaStretchBendForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaTorsionTorsionForce,63,1,1,5,0,20,11,3,11,0
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionGridInfo,50,0,0,3,0,6,6,4,6,0
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionInfo,0,0,0,0,0,2,2,7,2,0
OpenMM::AmoebaTorsionTorsionForceImpl,61,1,1,9,0,17,8,2,9,0
OpenMM::AmoebaTorsionTorsionForceProxy,0,1,1,5,0,17,3,0,3,0
OpenMM::AmoebaVdwForce,85,1,1,4,0,31,22,8,22,0
OpenMM::AmoebaVdwForce::VdwInfo,19,0,0,0,0,2,2,5,2,0
OpenMM::AmoebaVdwForceImpl,55,1,1,12,0,18,9,2,10,0
OpenMM::AmoebaVdwForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaWcaDispersionForce,86,1,1,4,0,33,24,9,24,0
OpenMM::AmoebaWcaDispersionForce::WcaDispersionInfo,0,0,0,0,0,2,2,2,2,0
OpenMM::AmoebaWcaDispersionForceImpl,59,1,1,9,0,19,9,2,11,0
OpenMM::AmoebaWcaDispersionForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AndersenThermostat,75,1,1,2,0,20,9,3,11,0
OpenMM::AndersenThermostatImpl,66,1,1,8,0,17,7,2,9,0
OpenMM::AndersenThermostatProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::ApplyAndersenThermostatKernel,0,1,1,4,3,9,3,0,4,0
OpenMM::ApplyConstraintsKernel,0,1,1,3,3,10,4,0,5,0
OpenMM::ApplyMonteCarloBarostatKernel,0,1,1,4,3,10,4,0,5,0
OpenMM::BrownianIntegrator,77,1,1,6,0,24,12,4,12,0
OpenMM::BrownianIntegratorProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::CalcAmoebaAngleForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaBondForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaGeneralizedKirkwoodForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaInPlaneAngleForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaMultipoleForceKernel,0,1,1,5,2,16,10,0,11,0
OpenMM::CalcAmoebaOutOfPlaneBendForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaPiTorsionForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaStretchBendForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaTorsionTorsionForceKernel,0,1,1,4,2,9,3,0,4,0
OpenMM::CalcAmoebaVdwForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcAmoebaWcaDispersionForceKernel,0,1,1,4,2,10,4,0,5,0
OpenMM::CalcCMAPTorsionForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcCustomAngleForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcCustomBondForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcCustomCentroidBondForceKernel,0,1,1,4,3,10,4,0,5,0
OpenMM::CalcCustomCompoundBondForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcCustomExternalForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcCustomGBForceKernel,0,1,1,4,4,10,4,0,5,0
OpenMM::CalcCustomHbondForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcCustomManyParticleForceKernel,0,1,1,4,4,10,4,0,5,0
OpenMM::CalcCustomNonbondedForceKernel,0,1,1,4,6,10,4,0,5,0
OpenMM::CalcCustomTorsionForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcDrudeForceKernel,0,1,1,4,3,10,4,0,5,0
OpenMM::CalcForcesAndEnergyKernel,0,1,1,3,6,10,4,0,5,0
OpenMM::CalcGayBerneForceKernel,0,1,1,4,4,10,4,0,5,0
OpenMM::CalcGBSAOBCForceKernel,0,1,1,4,4,10,4,0,5,0
OpenMM::CalcHarmonicAngleForceKernel,0,1,1,4,6,10,4,0,5,0
OpenMM::CalcHarmonicBondForceKernel,0,1,1,4,5,10,4,0,5,0
OpenMM::CalcNonbondedForceKernel,0,1,1,4,6,11,5,0,6,0
OpenMM::CalcPeriodicTorsionForceKernel,0,1,1,4,6,10,4,0,5,0
OpenMM::CalcPmeReciprocalForceKernel,0,1,1,2,1,11,5,0,6,0
OpenMM::CalcPmeReciprocalForceKernel::IO,0,0,0,0,4,2,2,0,2,0
OpenMM::CalcRBTorsionForceKernel,0,1,1,4,6,10,4,0,5,0
OpenMM::CMAPTorsionForce,71,1,1,5,0,22,13,3,13,0
OpenMM::CMAPTorsionForce::CMAPTorsionInfo,0,0,0,0,0,2,2,9,2,0
OpenMM::CMAPTorsionForce::MapInfo,25,0,0,1,0,2,2,2,2,0
OpenMM::CMAPTorsionForceImpl,59,1,1,9,0,19,10,2,11,0
OpenMM::CMAPTorsionForceProxy,0,1,1,5,0,17,3,0,3,0
OpenMM::CMMotionRemover,40,1,1,2,0,14,5,1,5,0
OpenMM::CMMotionRemoverImpl,57,1,1,8,0,15,7,2,7,0
OpenMM::CMMotionRemoverProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::CompiledExpressionSet,46,0,0,2,0,5,5,3,5,0
OpenMM::CompoundIntegrator,100,1,1,3,0,30,18,2,18,0
OpenMM::CompoundIntegratorProxy,0,1,1,3,0,17,3,0,3,0
OpenMM::Context,55,0,0,12,0,35,35,2,35,0
OpenMM::ContextImpl,89,0,0,17,0,41,40,16,41,0
OpenMM::Continuous1DFunction,42,1,1,2,0,9,7,3,7,0
OpenMM::Continuous1DFunctionProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::Continuous2DFunction,42,1,1,2,0,9,7,7,7,0
OpenMM::Continuous2DFunctionProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::Continuous3DFunction,42,1,1,2,0,9,7,10,7,0
OpenMM::Continuous3DFunctionProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::CpuBondForce,70,0,0,5,0,10,10,6,10,0
OpenMM::CpuBondForce::ComputeForceTask,0,1,1,3,0,3,2,7,2,0
OpenMM::CpuCalcCustomGBForceKernel,61,2,1,14,0,15,5,14,5,0
OpenMM::CpuCalcCustomManyParticleForceKernel,42,2,1,10,0,15,5,7,5,0
OpenMM::CpuCalcCustomNonbondedForceKernel,60,2,1,16,0,16,6,19,6,0
OpenMM::CpuCalcForcesAndEnergyKernel,25,2,1,15,0,14,4,3,4,0
OpenMM::CpuCalcForcesAndEnergyKernel::InitForceTask,12,1,1,8,0,3,2,4,2,0
OpenMM::CpuCalcForcesAndEnergyKernel::SumForceTask,0,1,1,4,0,3,2,3,2,0
OpenMM::CpuCalcGayBerneForceKernel,19,2,1,7,0,15,5,2,5,0
OpenMM::CpuCalcGBSAOBCForceKernel,33,2,1,11,0,15,5,3,5,0
OpenMM::CpuCalcHarmonicAngleForceKernel,33,2,1,9,0,15,5,6,5,0
OpenMM::CpuCalcNonbondedForceKernel,58,2,1,16,0,18,7,22,7,0
OpenMM::CpuCalcNonbondedForceKernel::PmeIO,33,1,1,0,0,5,3,3,3,0
OpenMM::CpuCalcPeriodicTorsionForceKernel,33,2,1,9,0,15,5,6,5,0
OpenMM::CpuCalcPmeReciprocalForceKernel,70,2,1,9,0,21,9,30,10,0
OpenMM::CpuCalcPmeReciprocalForceKernel::ComputeTask,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuCalcRBTorsionForceKernel,33,2,1,9,0,15,5,6,5,0
OpenMM::CpuCustomGBForce,80,0,0,10,0,17,17,25,17,0
OpenMM::CpuCustomGBForce::ComputeForceTask,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuCustomGBForce::ThreadData,50,0,0,3,0,2,2,28,2,0
OpenMM::CpuCustomManyParticleForce,79,0,0,15,0,14,12,27,14,0
OpenMM::CpuCustomManyParticleForce::AngleTermInfo,50,0,0,4,0,2,2,10,2,0
OpenMM::CpuCustomManyParticleForce::ComputeForceTask,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuCustomManyParticleForce::DihedralTermInfo,50,0,0,4,0,2,2,10,2,0
OpenMM::CpuCustomManyParticleForce::DistanceTermInfo,50,0,0,4,0,2,2,7,2,0
OpenMM::CpuCustomManyParticleForce::ParticleTermInfo,50,0,0,3,0,2,2,5,2,0
OpenMM::CpuCustomManyParticleForce::ThreadData,66,0,0,11,0,3,3,16,3,0
OpenMM::CpuCustomNonbondedForce,81,0,0,12,0,13,13,26,13,0
OpenMM::CpuCustomNonbondedForce::ComputeForceTask,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuCustomNonbondedForce::ThreadData,50,0,0,4,0,2,2,7,2,0
OpenMM::CpuGayBerneForce,77,0,0,10,0,11,11,18,11,0
OpenMM::CpuGayBerneForce::ComputeTask,0,1,1,3,0,3,2,2,2,0
OpenMM::CpuGBSAOBCForce,81,0,0,9,0,12,12,19,12,0
OpenMM::CpuGBSAOBCForce::ComputeTask,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuIntegrateLangevinStepKernel,60,2,1,14,0,15,5,6,5,0
OpenMM::CpuKernelFactory,0,1,1,28,0,3,1,0,1,0
OpenMM::CpuLangevinDynamics,59,2,1,4,0,34,11,9,11,0
OpenMM::CpuLangevinDynamics::Update1Task,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuLangevinDynamics::Update2Task,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuLangevinDynamics::Update3Task,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuNeighborList,76,0,0,9,0,10,10,20,10,0
OpenMM::CpuNeighborList::ThreadTask,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuNeighborList::Voxels,59,0,0,4,0,7,7,15,7,0
OpenMM::CpuNonbondedForce,85,0,0,9,1,18,18,34,18,0
OpenMM::CpuNonbondedForce::ComputeDirectTask,0,1,1,2,0,3,2,1,2,0
OpenMM::CpuNonbondedForceVec4,0,1,1,6,0,26,8,0,8,0
OpenMM::CpuPlatform,69,2,1,28,0,58,9,0,13,0
OpenMM::CpuPlatform::PlatformData,63,0,0,8,0,4,4,11,4,0
OpenMM::CpuPmeKernelFactory,0,1,1,6,0,3,1,0,1,0
OpenMM::CpuRandom,56,0,0,3,0,5,5,5,5,0
OpenMM::CpuSETTLE,41,1,1,5,0,9,6,2,6,0
OpenMM::CpuSETTLE::ApplyToPositionsTask,0,1,1,2,0,3,2,6,2,0
OpenMM::CpuSETTLE::ApplyToVelocitiesTask,0,1,1,2,0,3,2,6,2,0
OpenMM::CudaApplyAndersenThermostatKernel,37,2,1,10,0,13,4,4,4,0
OpenMM::CudaApplyConstraintsKernel,50,2,1,8,0,14,4,3,4,0
OpenMM::CudaApplyMonteCarloBarostatKernel,44,2,1,9,0,15,5,8,5,0
OpenMM::CudaArray,51,0,0,3,0,12,11,6,12,0
OpenMM::CudaBondedUtilities,73,0,0,5,0,9,9,17,9,0
OpenMM::CudaCalcAmoebaAngleForceKernel,44,2,1,14,0,15,5,4,5,0
OpenMM::CudaCalcAmoebaAngleForceKernel::ForceInfo,0,1,1,2,0,9,4,1,4,0
OpenMM::CudaCalcAmoebaBondForceKernel,44,2,1,14,0,15,5,4,5,0
OpenMM::CudaCalcAmoebaBondForceKernel::ForceInfo,0,1,1,2,0,9,4,1,4,0
OpenMM::CudaCalcAmoebaGeneralizedKirkwoodForceKernel,79,2,1,15,0,23,13,25,13,0
OpenMM::CudaCalcAmoebaGeneralizedKirkwoodForceKernel::ForceInfo,0,1,1,1,0,7,2,1,2,0
OpenMM::CudaCalcAmoebaInPlaneAngleForceKernel,44,2,1,13,0,15,5,4,5,0
OpenMM::CudaCalcAmoebaInPlaneAngleForceKernel::ForceInfo,0,1,1,2,0,9,4,1,4,0
OpenMM::CudaCalcAmoebaMultipoleForceKernel,81,2,1,24,0,33,17,104,17,0
OpenMM::CudaCalcAmoebaMultipoleForceKernel::ForceInfo,19,1,1,2,0,10,5,1,5,0
OpenMM::CudaCalcAmoebaMultipoleForceKernel::SortTrait,0,1,1,0,0,17,8,0,8,0
OpenMM::CudaCalcAmoebaOutOfPlaneBendForceKernel,44,2,1,13,0,15,5,4,5,0
OpenMM::CudaCalcAmoebaOutOfPlaneBendForceKernel::ForceInfo,0,1,1,2,0,9,4,1,4,0
OpenMM::CudaCalcAmoebaPiTorsionForceKernel,44,2,1,13,0,15,5,4,5,0
OpenMM::CudaCalcAmoebaPiTorsionForceKernel::ForceInfo,0,1,1,2,0,9,4,1,4,0
OpenMM::CudaCalcAmoebaStretchBendForceKernel,40,2,1,13,0,15,5,5,5,0
OpenMM::CudaCalcAmoebaStretchBendForceKernel::ForceInfo,0,1,1,2,0,9,4,1,4,0
OpenMM::CudaCalcAmoebaTorsionTorsionForceKernel,50,2,1,14,0,13,4,7,4,0
OpenMM::CudaCalcAmoebaTorsionTorsionForceKernel::ForceInfo,0,1,1,2,0,9,4,1,4,0
OpenMM::CudaCalcAmoebaVdwForceKernel,31,2,1,13,0,15,5,12,5,0
OpenMM::CudaCalcAmoebaVdwForceKernel::ForceInfo,0,1,1,1,0,7,2,1,2,0
OpenMM::CudaCalcAmoebaWcaDispersionForceKernel,40,2,1,14,0,15,5,5,5,0
OpenMM::CudaCalcAmoebaWcaDispersionForceKernel::ForceInfo,0,1,1,1,0,7,2,1,2,0
OpenMM::CudaCalcCMAPTorsionForceKernel,47,2,1,14,0,15,5,8,5,0
OpenMM::CudaCalcCustomAngleForceKernel,50,2,1,18,0,15,5,8,5,0
OpenMM::CudaCalcCustomBondForceKernel,50,2,1,18,0,15,5,8,5,0
OpenMM::CudaCalcCustomCentroidBondForceKernel,47,2,1,16,0,15,5,20,5,0
OpenMM::CudaCalcCustomCompoundBondForceKernel,47,2,1,19,0,15,5,8,5,0
OpenMM::CudaCalcCustomExternalForceKernel,50,2,1,18,0,15,5,8,5,0
OpenMM::CudaCalcCustomGBForceKernel,54,2,1,22,0,15,5,37,5,0
OpenMM::CudaCalcCustomHbondForceKernel,40,2,1,17,0,15,5,19,5,0
OpenMM::CudaCalcCustomManyParticleForceKernel,45,2,1,16,0,15,5,35,5,0
OpenMM::CudaCalcCustomNonbondedForceKernel,47,2,1,23,0,16,6,16,6,0
OpenMM::CudaCalcCustomTorsionForceKernel,52,2,1,18,0,15,5,8,5,0
OpenMM::CudaCalcDrudeForceKernel,19,2,1,13,0,15,5,3,5,0
OpenMM::CudaCalcForcesAndEnergyKernel,25,2,1,11,0,14,4,1,4,0
OpenMM::CudaCalcGayBerneForceKernel,46,2,1,11,0,16,6,39,6,0
OpenMM::CudaCalcGayBerneForceKernel::ReorderListener,0,1,1,1,0,4,2,1,2,0
OpenMM::CudaCalcGBSAOBCForceKernel,52,2,1,14,0,15,5,17,5,0
OpenMM::CudaCalcHarmonicAngleForceKernel,52,2,1,13,0,15,5,5,5,0
OpenMM::CudaCalcHarmonicBondForceKernel,52,2,1,13,0,15,5,5,5,0
OpenMM::CudaCalcNonbondedForceKernel,52,2,1,22,0,17,6,43,6,0
OpenMM::CudaCalcNonbondedForceKernel::PmeIO,43,1,1,3,0,6,4,4,4,0
OpenMM::CudaCalcNonbondedForceKernel::PmePostComputation,0,1,1,2,0,4,2,2,2,0
OpenMM::CudaCalcNonbondedForceKernel::PmePreComputation,33,1,1,4,0,4,2,3,2,0
OpenMM::CudaCalcNonbondedForceKernel::SortTrait,0,1,1,0,0,17,8,0,8,0
OpenMM::CudaCalcNonbondedForceKernel::SyncStreamPostComputation,0,1,1,2,0,4,2,5,2,0
OpenMM::CudaCalcNonbondedForceKernel::SyncStreamPreComputation,0,1,1,1,0,4,2,4,2,0
OpenMM::CudaCalcPeriodicTorsionForceKernel,52,2,1,13,0,15,5,5,5,0
OpenMM::CudaCalcRBTorsionForceKernel,46,2,1,13,0,15,5,6,5,0
OpenMM::CudaCompilerKernel,0,1,1,2,1,8,2,0,3,0
OpenMM::CudaCompilerKernelFactory,0,1,1,6,0,3,1,0,1,0
OpenMM::CudaContext,96,0,0,24,0,87,86,73,87,0
OpenMM::CudaContext::ForcePostComputation,0,0,0,0,2,2,2,0,2,0
OpenMM::CudaContext::ForcePreComputation,0,0,0,0,2,2,2,0,2,0
OpenMM::CudaContext::ReorderListener,0,0,0,0,2,2,2,0,2,0
OpenMM::CudaContext::VirtualSiteInfo,41,1,1,6,0,9,4,3,4,0
OpenMM::CudaContext::WorkTask,0,0,0,0,15,2,2,0,2,0
OpenMM::CudaContext::WorkThread,50,0,0,1,0,6,6,7,6,0
OpenMM::CudaDrudeKernelFactory,0,1,1,12,0,3,1,0,1,0
OpenMM::CudaExpressionUtilities,83,0,0,21,0,12,12,5,12,0
OpenMM::CudaExpressionUtilities::FunctionPlaceholder,40,1,1,0,0,10,5,1,5,0
OpenMM::CudaFFT3D,48,0,0,5,0,4,3,18,4,0
OpenMM::CudaForceInfo,0,0,0,1,31,5,5,0,5,0
OpenMM::CudaIntegrateBrownianStepKernel,70,2,1,11,0,15,5,6,5,0
OpenMM::CudaIntegrateCustomStepKernel,80,2,1,26,0,30,16,58,16,0
OpenMM::CudaIntegrateCustomStepKernel::DerivFunction,40,1,1,1,0,10,5,2,5,0
OpenMM::CudaIntegrateCustomStepKernel::GlobalTarget,50,0,0,1,0,2,2,2,2,0
OpenMM::CudaIntegrateCustomStepKernel::ReorderListener,0,1,1,3,0,4,2,6,2,0
OpenMM::CudaIntegrateDrudeLangevinStepKernel,42,2,1,13,0,15,5,7,5,0
OpenMM::CudaIntegrateDrudeSCFStepKernel,52,2,1,15,0,16,6,7,6,0
OpenMM::CudaIntegrateLangevinStepKernel,51,2,1,11,0,15,5,7,5,0
OpenMM::CudaIntegrateRPMDStepKernel,67,2,1,16,0,23,10,19,10,0
OpenMM::CudaIntegrateVariableLangevinStepKernel,64,2,1,11,0,15,5,9,5,0
OpenMM::CudaIntegrateVariableVerletStepKernel,52,2,1,11,0,15,5,5,5,0
OpenMM::CudaIntegrateVerletStepKernel,46,2,1,11,0,15,5,3,5,0
