function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
ReferenceCustomCompoundBondIxn::calculateOneIxn,16,16,16,1,2,8640,4,0
ReferenceCustomCompoundBondIxn::calculatePairIxn,3,3,3,1,2,3,0,0
ReferenceCustomCompoundBondIxn::computeAngle,3,3,3,1,1,3,0,0
ReferenceCustomCompoundBondIxn::computeDelta,1,1,1,1,0,1,0,0
ReferenceCustomCompoundBondIxn::DihedralTermInfo::DihedralTermInfo,1,1,1,1,0,1,0,0
ReferenceCustomCompoundBondIxn::DistanceTermInfo::DistanceTermInfo,1,1,1,1,0,1,0,0
ReferenceCustomCompoundBondIxn::getBondAtoms,1,1,1,1,0,1,0,0
ReferenceCustomCompoundBondIxn::ParticleTermInfo::ParticleTermInfo,1,1,1,1,0,1,0,0
ReferenceCustomCompoundBondIxn::ReferenceCustomCompoundBondIxn,5,5,5,1,1,16,1,0
ReferenceCustomCompoundBondIxn::~ReferenceCustomCompoundBondIxn,1,1,1,1,0,1,0,0
ReferenceCustomDynamics::computeKineticEnergy,4,4,4,1,2,6,1,0
ReferenceCustomDynamics::computePerDof,5,5,5,1,4,5,1,0
ReferenceCustomDynamics::recordChangedParameters,3,3,3,1,2,3,0,0
ReferenceCustomDynamics::ReferenceCustomDynamics,5,5,6,1,2,9,1,0
ReferenceCustomDynamics::update,47,42,53,19,9,1479169,6,0
ReferenceCustomDynamics::~ReferenceCustomDynamics,1,1,1,1,0,1,0,0
ReferenceCustomExternalIxn::calculateForce,3,3,3,1,1,4,1,0
ReferenceCustomExternalIxn::ReferenceCustomExternalIxn,3,3,3,1,1,4,1,0
ReferenceCustomExternalIxn::~ReferenceCustomExternalIxn,1,1,1,1,0,1,0,0
ReferenceCustomGBIxn::calculateChainRuleForces,9,9,9,1,3,35,2,0
ReferenceCustomGBIxn::calculateIxn,7,7,7,1,2,16,1,0
ReferenceCustomGBIxn::calculateOnePairChainRule,10,10,12,1,2,122,2,0
ReferenceCustomGBIxn::calculateOnePairEnergyTerm,8,8,9,1,1,66,2,0
ReferenceCustomGBIxn::calculateOnePairValue,5,5,6,1,1,10,1,0
ReferenceCustomGBIxn::calculateParticlePairEnergyTerm,7,7,9,7,4,7,1,0
ReferenceCustomGBIxn::calculateParticlePairValue,8,8,10,7,4,14,1,0
ReferenceCustomGBIxn::calculateSingleParticleEnergyTerm,6,6,6,1,2,17,1,0
ReferenceCustomGBIxn::calculateSingleParticleValue,4,4,4,1,2,5,1,0
ReferenceCustomGBIxn::ReferenceCustomGBIxn,5,5,5,1,2,9,1,0
ReferenceCustomGBIxn::setPeriodic,2,2,2,1,1,2,0,0
ReferenceCustomGBIxn::setUseCutoff,1,1,1,1,0,1,0,0
ReferenceCustomGBIxn::~ReferenceCustomGBIxn,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::AngleTermInfo::AngleTermInfo,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::calculateOneIxn,16,16,16,3,2,4321,4,0
ReferenceCustomHbondIxn::calculatePairIxn,6,6,6,1,4,9,1,0
ReferenceCustomHbondIxn::computeAngle,3,3,3,1,1,3,0,0
ReferenceCustomHbondIxn::computeDelta,2,2,2,1,1,2,0,0
ReferenceCustomHbondIxn::DihedralTermInfo::DihedralTermInfo,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::DistanceTermInfo::DistanceTermInfo,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::getAcceptorAtoms,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::getDonorAtoms,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::ReferenceCustomHbondIxn,4,4,4,1,1,8,1,0
ReferenceCustomHbondIxn::setPeriodic,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::setUseCutoff,1,1,1,1,0,1,0,0
ReferenceCustomHbondIxn::~ReferenceCustomHbondIxn,1,1,1,1,0,1,0,0
ReferenceCustomNonbondedIxn::calculateOneIxn,9,9,11,1,2,62,2,0
ReferenceCustomNonbondedIxn::calculatePairIxn,16,16,19,7,5,38,2,0
ReferenceCustomNonbondedIxn::ReferenceCustomNonbondedIxn,3,3,3,1,2,3,0,0
ReferenceCustomNonbondedIxn::setInteractionGroups,1,1,1,1,0,1,0,0
ReferenceCustomNonbondedIxn::setPeriodic,1,1,1,1,0,1,0,0
ReferenceCustomNonbondedIxn::setUseCutoff,1,1,1,1,0,1,0,0
ReferenceCustomNonbondedIxn::setUseSwitchingFunction,1,1,1,1,0,1,0,0
ReferenceCustomNonbondedIxn::~ReferenceCustomNonbondedIxn,1,1,1,1,0,1,0,0
ReferenceCustomTorsionIxn::calculateBondIxn,5,5,5,1,1,16,1,0
ReferenceCustomTorsionIxn::ReferenceCustomTorsionIxn,3,3,3,1,1,4,1,0
ReferenceCustomTorsionIxn::~ReferenceCustomTorsionIxn,1,1,1,1,0,1,0,0
ReferenceDynamics::getDeltaT,1,1,1,1,0,1,0,0
ReferenceDynamics::getNumberOfAtoms,1,1,1,1,0,1,0,0
ReferenceDynamics::getReferenceConstraintAlgorithm,1,1,1,1,0,1,0,0
ReferenceDynamics::getTemperature,1,1,1,1,0,1,0,0
ReferenceDynamics::getTimeStep,1,1,1,1,0,1,0,0
ReferenceDynamics::incrementTimeStep,1,1,1,1,0,1,0,0
ReferenceDynamics::ReferenceDynamics,1,1,1,1,0,1,0,0
ReferenceDynamics::setDeltaT,1,1,1,1,0,1,0,0
ReferenceDynamics::setReferenceConstraintAlgorithm,2,2,3,1,1,2,0,0
ReferenceDynamics::update,1,1,1,1,0,1,0,0
ReferenceDynamics::~ReferenceDynamics,2,2,2,1,1,2,0,0
ReferenceForce::getDeltaR,1,1,1,1,0,1,0,0
ReferenceForce::getDeltaROnly,1,1,1,1,0,1,0,0
ReferenceForce::getDeltaRPeriodic,1,1,1,1,0,1,0,0
ReferenceForce::getVariablePointer,2,2,2,1,1,2,0,0
ReferenceForce::periodicDifference,1,1,1,1,0,1,0,0
ReferenceForce::ReferenceForce,1,1,1,1,0,1,0,0
ReferenceForce::setVariable,2,2,2,1,1,2,0,0
ReferenceForce::~ReferenceForce,1,1,1,1,0,1,0,0
ReferenceHarmonicBondIxn::calculateBondIxn,3,3,3,1,1,2,0,0
ReferenceHarmonicBondIxn::ReferenceHarmonicBondIxn,1,1,1,1,0,1,0,0
ReferenceHarmonicBondIxn::~ReferenceHarmonicBondIxn,1,1,1,1,0,1,0,0
ReferenceLincsAlgorithm::apply,9,9,10,1,3,49,2,0
ReferenceLincsAlgorithm::applyToVelocities,1,1,1,1,0,1,0,0
ReferenceLincsAlgorithm::getNumberOfConstraints,1,1,1,1,0,1,0,0
ReferenceLincsAlgorithm::getNumTerms,1,1,1,1,0,1,0,0
ReferenceLincsAlgorithm::initialize,7,7,7,1,3,32,2,0
ReferenceLincsAlgorithm::ReferenceLincsAlgorithm,1,1,1,1,0,1,0,0
ReferenceLincsAlgorithm::setNumTerms,1,1,1,1,0,1,0,0
ReferenceLincsAlgorithm::solveMatrix,6,6,6,1,3,4,1,0
ReferenceLincsAlgorithm::updateAtomPositions,2,2,2,1,1,2,0,0
ReferenceLJCoulomb14::calculateBondIxn,3,3,3,1,1,4,1,0
ReferenceLJCoulomb14::ReferenceLJCoulomb14,1,1,1,1,0,1,0,0
ReferenceLJCoulomb14::~ReferenceLJCoulomb14,1,1,1,1,0,1,0,0
ReferenceLJCoulombIxn::calculateEwaldIxn,46,46,49,1,6,44267080,8,0
ReferenceLJCoulombIxn::calculateOneIxn,10,10,10,1,2,384,3,0
ReferenceLJCoulombIxn::calculatePairIxn,8,8,9,3,4,8,1,0
ReferenceLJCoulombIxn::ReferenceLJCoulombIxn,1,1,1,1,0,1,0,0
ReferenceLJCoulombIxn::setPeriodic,1,1,1,1,0,1,0,0
ReferenceLJCoulombIxn::setUseCutoff,1,1,1,1,0,1,0,0
ReferenceLJCoulombIxn::setUseEwald,1,1,1,1,0,1,0,0
ReferenceLJCoulombIxn::setUsePME,1,1,1,1,0,1,0,0
ReferenceLJCoulombIxn::setUseSwitchingFunction,1,1,1,1,0,1,0,0
ReferenceLJCoulombIxn::~ReferenceLJCoulombIxn,1,1,1,1,0,1,0,0
ReferenceMonteCarloBarostat::applyBarostat,6,6,6,1,2,15,1,0
ReferenceMonteCarloBarostat::ReferenceMonteCarloBarostat,1,1,1,1,0,1,0,0
ReferenceMonteCarloBarostat::restorePositions,3,3,3,1,2,3,0,0
ReferenceMonteCarloBarostat::~ReferenceMonteCarloBarostat,1,1,1,1,0,1,0,0
ReferencePairIxn::ReferencePairIxn,1,1,1,1,0,1,0,0
ReferencePairIxn::~ReferencePairIxn,1,1,1,1,0,1,0,0
ReferenceProperDihedralBond::calculateBondIxn,4,4,4,1,1,8,1,0
ReferenceProperDihedralBond::ReferenceProperDihedralBond,1,1,1,1,0,1,0,0
ReferenceProperDihedralBond::~ReferenceProperDihedralBond,1,1,1,1,0,1,0,0
ReferenceRbDihedralBond::calculateBondIxn,6,6,6,1,1,32,2,0
ReferenceRbDihedralBond::ReferenceRbDihedralBond,1,1,1,1,0,1,0,0
ReferenceRbDihedralBond::~ReferenceRbDihedralBond,1,1,1,1,0,1,0,0
ReferenceStochasticDynamics::getTau,1,1,1,1,0,1,0,0
ReferenceStochasticDynamics::ReferenceStochasticDynamics,2,2,2,1,1,2,0,0
ReferenceStochasticDynamics::update,8,8,8,1,3,32,2,0
ReferenceStochasticDynamics::updatePart1,4,4,4,1,3,4,1,0
ReferenceStochasticDynamics::updatePart2,4,4,4,1,3,4,1,0
ReferenceStochasticDynamics::~ReferenceStochasticDynamics,1,1,1,1,0,1,0,0
ReferenceTabulatedFunction::clone,1,1,1,1,0,1,0,0
ReferenceTabulatedFunction::evaluate,2,2,3,1,1,2,0,0
ReferenceTabulatedFunction::evaluateDerivative,2,2,3,1,1,2,0,0
ReferenceTabulatedFunction::getNumArguments,1,1,1,1,0,1,0,0
ReferenceTabulatedFunction::ReferenceTabulatedFunction,2,2,2,1,1,2,0,0
ReferenceVariableStochasticDynamics::getAccuracy,1,1,1,1,0,1,0,0
ReferenceVariableStochasticDynamics::getTau,1,1,1,1,0,1,0,0
ReferenceVariableStochasticDynamics::ReferenceVariableStochasticDynamics,2,2,2,1,1,2,0,0
ReferenceVariableStochasticDynamics::setAccuracy,1,1,1,1,0,1,0,0
ReferenceVariableStochasticDynamics::update,4,4,4,1,2,6,1,0
ReferenceVariableStochasticDynamics::updatePart1,12,12,13,1,3,384,3,0
ReferenceVariableStochasticDynamics::updatePart2,4,4,4,1,3,4,1,0
ReferenceVariableStochasticDynamics::~ReferenceVariableStochasticDynamics,1,1,1,1,0,1,0,0
ReferenceVariableVerletDynamics::getAccuracy,1,1,1,1,0,1,0,0
ReferenceVariableVerletDynamics::ReferenceVariableVerletDynamics,1,1,1,1,0,1,0,0
ReferenceVariableVerletDynamics::setAccuracy,1,1,1,1,0,1,0,0
ReferenceVariableVerletDynamics::update,16,16,17,1,3,3072,3,0
ReferenceVariableVerletDynamics::~ReferenceVariableVerletDynamics,1,1,1,1,0,1,0,0
ReferenceVerletDynamics::ReferenceVerletDynamics,1,1,1,1,0,1,0,0
ReferenceVerletDynamics::update,11,11,11,1,3,128,2,0
ReferenceVerletDynamics::~ReferenceVerletDynamics,1,1,1,1,0,1,0,0
ReferenceVirtualSites::computePositions,6,6,6,1,3,6,1,0
ReferenceVirtualSites::distributeForces,6,6,6,1,3,6,1,0
registerAmoebaCudaKernelFactories,2,2,2,1,0,2,0,0
registerAmoebaReferenceKernelFactories,1,1,1,1,0,1,0,0
registerAmoebaSerializationProxies,1,1,1,1,0,1,0,0
registerCpuPmeKernelFactories,1,1,1,1,0,1,0,0
registerDrudeCudaKernelFactories,2,2,2,1,0,2,0,0
registerDrudeOpenCLKernelFactories,2,2,2,1,0,2,0,0
registerDrudeReferenceKernelFactories,1,1,1,1,0,1,0,0
registerDrudeSerializationProxies,1,1,1,1,0,1,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,2,2,2,1,1,2,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,2,2,2,1,1,2,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerRPMDCudaKernelFactories,2,2,2,1,0,2,0,0
registerRPMDOpenCLKernelFactories,2,2,2,1,0,2,0,0
registerRpmdReferenceKernelFactories,1,1,1,1,0,1,0,0
registerSerializationProxies,1,1,1,1,0,1,0,0
round,1,1,1,1,0,1,0,0
round,1,1,1,1,0,1,0,0
rshift,7,7,7,1,3,14,1,0
runSystemComparisonTest,13,13,15,1,3,880,3,0
runTests,14,14,16,1,2,960,3,0
rv_alloc,2,2,2,1,1,2,0,0
ObcParameters::getAlphaObc,1,1,1,1,0,1,0,0
ObcParameters::getAtomicRadii,1,1,1,1,0,1,0,0
ObcParameters::getBetaObc,1,1,1,1,0,1,0,0
ObcParameters::getCutoffDistance,1,1,1,1,0,1,0,0
ObcParameters::getDielectricOffset,1,1,1,1,0,1,0,0
ObcParameters::getElectricConstant,1,1,1,1,0,1,0,0
ObcParameters::getGammaObc,1,1,1,1,0,1,0,0
ObcParameters::getNumberOfAtoms,1,1,1,1,0,1,0,0
ObcParameters::getObcType,1,1,1,1,0,1,0,0
ObcParameters::getPeriodic,1,1,1,1,0,1,0,0
ObcParameters::getPeriodicBox,1,1,1,1,0,1,0,0
ObcParameters::getPi4Asolv,1,1,1,1,0,1,0,0
ObcParameters::getProbeRadius,1,1,1,1,0,1,0,0
ObcParameters::getScaledRadiusFactors,1,1,1,1,0,1,0,0
ObcParameters::getSoluteDielectric,1,1,1,1,0,1,0,0
ObcParameters::getSolventDielectric,1,1,1,1,0,1,0,0
ObcParameters::getUseCutoff,1,1,1,1,0,1,0,0
ObcParameters::ObcParameters,1,1,1,1,0,1,0,0
ObcParameters::setAtomicRadii,3,3,3,1,2,3,0,0
ObcParameters::setObcTypeParameters,2,2,2,1,1,2,0,0
ObcParameters::setPeriodic,1,1,1,1,0,1,0,0
ObcParameters::setProbeRadius,1,1,1,1,0,1,0,0
ObcParameters::setScaledRadiusFactors,3,3,3,1,2,3,0,0
ObcParameters::setSoluteDielectric,1,1,1,1,0,1,0,0
ObcParameters::setSolventDielectric,1,1,1,1,0,1,0,0
ObcParameters::setUseCutoff,1,1,1,1,0,1,0,0
ObcParameters::~ObcParameters,1,1,1,1,0,1,0,0
OpenCLCMAPTorsionForceInfo::areGroupsIdentical,1,1,1,1,0,1,0,0
OpenCLCMAPTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCMAPTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCMAPTorsionForceInfo::OpenCLCMAPTorsionForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomAngleForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomAngleForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomAngleForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomAngleForceInfo::OpenCLCustomAngleForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomBondForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomBondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomBondForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomBondForceInfo::OpenCLCustomBondForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomCompoundBondForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomCompoundBondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomCompoundBondForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomCompoundBondForceInfo::OpenCLCustomCompoundBondForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomExternalForceInfo::areParticlesIdentical,5,5,7,5,2,5,1,0
OpenCLCustomExternalForceInfo::OpenCLCustomExternalForceInfo,2,2,2,1,1,2,0,0
OpenCLCustomGBForceInfo::areGroupsIdentical,1,1,1,1,0,1,0,0
OpenCLCustomGBForceInfo::areParticlesIdentical,3,3,3,3,2,3,0,0
OpenCLCustomGBForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomGBForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomGBForceInfo::OpenCLCustomGBForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomHbondForceInfo::areGroupsIdentical,5,5,11,5,1,5,1,0
OpenCLCustomHbondForceInfo::areParticlesIdentical,1,1,1,1,0,1,0,0
OpenCLCustomHbondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomHbondForceInfo::getParticlesInGroup,11,11,11,3,2,24,1,0
OpenCLCustomHbondForceInfo::OpenCLCustomHbondForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::areGroupsIdentical,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::areParticlesIdentical,4,4,5,4,2,5,1,0
OpenCLCustomNonbondedForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomNonbondedForceInfo::OpenCLCustomNonbondedForceInfo,5,5,5,1,3,6,1,0
OpenCLCustomTorsionForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomTorsionForceInfo::OpenCLCustomTorsionForceInfo,1,1,1,1,0,1,0,0
OpenCLDrudeForceInfo::areGroupsIdentical,3,3,8,3,1,3,0,0
OpenCLDrudeForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLDrudeForceInfo::getParticlesInGroup,5,5,5,1,2,9,1,0
OpenCLDrudeForceInfo::OpenCLDrudeForceInfo,1,1,1,1,0,1,0,0
OpenCLGBSAOBCForceInfo::areParticlesIdentical,1,1,3,1,0,1,0,0
OpenCLGBSAOBCForceInfo::OpenCLGBSAOBCForceInfo,1,1,1,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::areGroupsIdentical,1,1,2,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLHarmonicAngleForceInfo::OpenCLHarmonicAngleForceInfo,1,1,1,1,0,1,0,0
OpenCLHarmonicBondForceInfo::areGroupsIdentical,1,1,2,1,0,1,0,0
OpenCLHarmonicBondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLHarmonicBondForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLHarmonicBondForceInfo::OpenCLHarmonicBondForceInfo,1,1,1,1,0,1,0,0
OpenCLNonbondedForceInfo::areGroupsIdentical,1,1,3,1,0,1,0,0
OpenCLNonbondedForceInfo::areParticlesIdentical,1,1,3,1,0,1,0,0
OpenCLNonbondedForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLNonbondedForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLNonbondedForceInfo::OpenCLNonbondedForceInfo,1,1,1,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::areGroupsIdentical,1,1,3,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLPeriodicTorsionForceInfo::OpenCLPeriodicTorsionForceInfo,1,1,1,1,0,1,0,0
OpenCLRBTorsionForceInfo::areGroupsIdentical,1,1,6,1,0,1,0,0
OpenCLRBTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLRBTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLRBTorsionForceInfo::OpenCLRBTorsionForceInfo,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::AlignedArray,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::AlignedArray,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::allocate,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::operator[],1,1,1,1,0,1,0,0
OpenMM::AlignedArray::operator[],1,1,1,1,0,1,0,0
OpenMM::AlignedArray::resize,3,3,3,1,1,3,0,0
OpenMM::AlignedArray::size,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::~AlignedArray,2,2,2,1,1,2,0,0
OpenMM::AmoebaAngleForce::addAngle,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::AmoebaAngleForce,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::AngleInfo::AngleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::AngleInfo::AngleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::createImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAngleCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAnglePentic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAngleQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAngleSextic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAngleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getNumAngles,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAngleCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAnglePentic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAngleQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAngleSextic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAngleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::AmoebaAngleForceImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::calcForcesAndEnergy,2,2,2,1,1,2,0,0
OpenMM::AmoebaAngleForceImpl::getDefaultParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::getKernelNames,1,1,1,1,0,1,0,0
