hash,time,message,buggy
d4a343e,2013-10-09 11:13:46,Early beginnings of creating an optimized CPU platform,0
d4d9ce1,2013-10-09 16:42:23,Optimizations to neighbor list construction,0
3b3fd57,2013-10-09 17:25:02,More optimizations to neighborlist construction  including SSE intrinsics,0
f4a1847,2013-10-10 12:58:16,Neighborlist construction is multithreaded.,0
50d4f9d,2013-10-10 13:32:06,Separated hardware query functions into a separate file.  CPU platform checks for the correct hardware.,0
9bc194b,2013-10-10 16:27:40,Began creating optimized implementation of direct space nonbonded calculation,0
6b10b90,2013-10-11 11:58:19,Continuing to optimize CPU nonbonded routines,0
e22b8f5,2013-10-11 15:16:29,PME works correctly in CPU platform,0
3c435fb,2013-10-11 15:34:55,Use optimized PME implementation when available,0
b278bb6,2013-10-11 16:40:18,Direct space nonbonded is multithreaded,0
18f1cd3,2013-10-11 17:07:33,Do not rebuild the neighbor list every time step,0
9491eb7,2013-10-14 10:42:13,Fixed a race condition,0
eba7ac0,2013-10-14 14:48:07,Merge pull request #165 from swails/master,0
f7b98d0,2013-10-14 15:06:10,Corrected minor bug in GBneck screening parameter assignment. The existing logic was:,0
95b6034,2013-10-14 15:21:54,Add a comment to clarify that calling setReactionFieldDielectric on force instead of gb is intentional.,0
f153370,2013-10-14 16:02:57,Tabulate the Ewald scale factor,0
7901182,2013-10-14 17:32:43,Assorted optimizations,0
dd175b2,2013-10-15 12:31:55,Bug fix  plus a minor optimization to reference platform,1
2943d62,2013-10-15 13:39:32,Bug fix,1
79e2fb0,2013-10-15 13:47:32,Merge pull request #167 from peastman/cpu,0
27471dd,2013-10-15 14:45:23,Write CONECT records to PDB files,0
d389e50,2013-10-15 15:40:22,Prevent segfaults when a simulation blows up,0
089767b,2013-10-15 15:41:10,Merge pull request #170 from peastman/master,0
b2a6f40,2013-10-15 23:21:11,Take the 1-4 non-bonded scaling parameters from the Amber topology files if present  defaulting to 1.2 (SCEE) and 2.0 (SCNB) if they're not present. If values for scee and scnb are provided to readAmberSystem they will override any values in the topology file  but a warning will be printed (since ignoring the scaling parameters in the topology file really changes the force field).,0
efe7ff4,2013-10-16 10:33:43,Merge pull request #169 from peastman/connect,0
54bfc13,2013-10-16 10:39:43,Merge pull request #171 from swails/master,0
8b3bfc9,2013-10-16 14:25:42,Lots of optimizations to Lepton  including creating CompiledExpression class.,0
54e47d2,2013-10-16 16:36:18,Converted lots of ExpressionPrograms to CompiledExpressions,0
18587bd,2013-10-16 16:39:21,Merge pull request #173 from peastman/master,0
587ed0c,2013-10-17 10:35:39,Updated documentation for Lepton,0
7b133c7,2013-10-17 10:36:15,Merge pull request #174 from peastman/master,0
8f16850,2013-10-17 12:37:16,Fixed segfaults on some computers,0
925fc9d,2013-10-17 13:06:18,Merge branch 'master' of https://github.com/SimTk/openmm,0
a42c55a,2013-10-17 13:07:50,Merge pull request #175 from peastman/master,0
2ff9f47,2013-10-17 15:22:25,Added AmoebaMultipoleForce::getInducedDipoles(),0
8eb840b,2013-10-17 15:23:07,Merge pull request #176 from peastman/master,0
28020b3,2013-10-18 09:21:54,Support gzip and bzip2 compression for StateDataReporter (based on filename extension). Users were already able to pass gzip.GzipFile objects and StateDataReporter would write compressed data. bz2.BZ2File objects also worked after I removed the self._out.flush() calls.,0
9c66613,2013-10-18 10:58:49,Merge pull request #178 from swails/master,0
7b28f2c,2013-10-18 13:35:34,Add sulphur and aluminium aliases.,0
17d440f,2013-10-18 13:40:55,Add the flush calls back to statedatareporter properly protected by try-except.,0
51a20b8,2013-10-19 10:25:07,Implement GBn2 (equivalent to igb==8 in Amber) via CustomGBForce. [1] The energy computed with OpenMM matches that computed with Amber for the new model as well as the existing models do (see table below). GBn2 is a much better GB model than either the OBC models or the original GB neck by all indications...,0
844b38d,2013-10-19 11:08:58,Tweak comment in createSystem docstring to indicate GBn2 as an available choice.,0
6eacad4,2013-10-21 11:01:59,Created vector classes to simplify SSE code,0
56902b4,2013-10-22 14:15:22,Restructured nonbonded calculation to allow more efficient vectorization,0
f301042,2013-10-23 13:53:33,Optimized algorithm for building neighbor list.,0
b5da738,2013-10-23 14:01:12,Merge pull request #179 from swails/master,0
d6b2eb7,2013-10-23 14:59:57,Parallelized the processing of exclusions for Ewald,0
cf6ca0a,2013-10-23 15:41:11,Fixed an error in generating Python wrappers,1
3dea0a6,2013-10-23 15:53:46,Enabled the SSE version of SFMT,0
6ad8697,2013-10-23 16:54:02,Minor optimizations to neighbor list construction,0
8d9950d,2013-10-23 17:28:11,Do a more complex test to decide when to rebuild the neighbor list,0
062a2db,2013-10-23 17:45:59,Minor change to the neighbor list padding distance,0
79fd69c,2013-10-23 17:47:52,Merge pull request #182 from peastman/master,0
a5bcc4b,2013-10-24 10:43:51,Minor optimizations to CPU platform,0
15f8a12,2013-10-24 18:50:10,Merge pull request #185 from peastman/master,0
0be0772,2013-10-24 18:53:34,Fixed errors in Python wrapping of AmoebaMultipoleForce,1
e26ad5d,2013-10-24 18:54:29,Merge pull request #186 from peastman/master,0
4d36334,2013-10-26 12:11:26,Fix for #151,0
a6613bf,2013-10-28 11:08:01,Merge pull request #188 from rmcgibbo/fix3,0
bb25994,2013-10-28 17:07:03,Fix,0
d389692,2013-10-28 17:41:16,Merge pull request #189 from rmcgibbo/fix,0
6073a3b,2013-10-29 02:42:29,typo,0
9c656d8,2013-10-29 10:36:08,Merge pull request #190 from rmcgibbo/typo,0
f3fe550,2013-10-29 13:39:36,Created ThreadPool to simplify parallel code,0
2563e95,2013-10-29 14:02:11,Added a missing dependency on pthreads,0
a69227c,2013-10-30 10:17:14,Further optimizations to CPU nonbonded force,0
eda6920,2013-10-30 10:29:21,Merge pull request #191 from peastman/master,0
62c64e3,2013-10-30 13:31:18,Minor optimizations to CPU platform: avoid applying periodic boundary conditions unnecessarily,0
79f064a,2013-10-30 13:51:11,Also use the previous optimization with reaction field,0
641389f,2013-10-30 13:55:25,Merge pull request #193 from peastman/master,0
521f61e,2013-10-30 16:17:42,Skip all /internal directories when building Python wrappers.  This allows the configuration file to be simplified.,0
8e11ed9,2013-10-30 16:18:30,Merge pull request #195 from peastman/master,0
16978d1,2013-10-31 17:18:15,include what you use,0
2bc341a,2013-10-31 17:35:01,Merge pull request #200 from rmcgibbo/pgi,0
be61ee5,2013-11-01 13:01:39,Centralized the forces  positions  and thread pool so they can be shared between kernels,0
7b60851,2013-11-04 12:12:01,Bug fixes,1
c97ca97,2013-11-04 15:54:16,Created optimized CPU version of GBSAOBCForce,0
775866b,2013-11-04 16:40:36,Minor optimizations to CPU version of GBSAOBCForce,0
4cb0518,2013-11-04 16:44:10,Merge pull request #205 from peastman/gb,0
be0b1ae,2013-11-05 11:03:38,Moved benchmarking script into main repository,0
aae25fd,2013-11-05 11:35:26,Bug fix to benchmarking script,1
b1d9891,2013-11-05 11:38:27,Bug fix to benchmarking script,1
c6b335e,2013-11-05 11:39:36,Merge branch 'master' of https://github.com/peastman/openmm,0
412d42c,2013-11-05 11:42:14,Merge pull request #206 from peastman/master,0
563914a,2013-11-06 10:29:51,Optimizations to CPU version of GBSA,0
7ac8f66,2013-11-06 10:30:18,Merge pull request #207 from peastman/master,0
cf80933,2013-11-06 12:54:43,Improved the geometry of hydroxyls when adding hydrogens,0
f52c8d4,2013-11-06 12:55:26,Merge pull request #208 from peastman/master,0
7714f7f,2013-11-07 11:55:01,Fixed compilation errors on gcc,1
59893e5,2013-11-07 11:59:43,Merge pull request #211 from peastman/master,0
f39a554,2013-11-07 13:41:58,Tabulated log(x) to improve GB performance,0
fd2708b,2013-11-07 13:49:28,Merge pull request #212 from peastman/master,0
9a26412,2013-11-07 15:20:53,Fixed compilation errors on OS X 10.9,1
ed0abe8,2013-11-07 15:21:33,Merge pull request #213 from peastman/master,0
9d207e8,2013-11-08 12:25:14,Added some missing virtual destructors,0
5c063a7,2013-11-08 12:26:04,Merge pull request #215 from peastman/master,0
81baff5,2013-11-08 17:44:44,Began rewriting C/Fortran wrapper generation to use Doxygen/Python instead of gccxml/XSLT,0
c1f64b3,2013-11-13 08:35:48,Fixed errors on OS X 10.9: link against libc++ instead of libstdc++,1
d59a34f,2013-11-13 08:36:35,Merge pull request #218 from peastman/master,0
772b8a1,2013-11-21 10:05:56,Continuing to reimplement wrapper generation,0
19b4fc4,2013-11-21 10:34:32,Merge branch 'master' of https://github.com/peastman/openmm into wrappers,0
3fda987,2013-11-21 14:17:11,Finished C wrapper generation,0
a27fd3d,2013-11-21 16:25:13,Implemented generating Fortran wrapper header,0
1926664,2013-11-22 15:16:45,Finished wrappers for main library,0
0ee8c78,2013-11-25 11:09:38,Fixed bugs in computing PME energy with CPU platform,1
1a1e233,2013-11-25 11:10:13,Merge pull request #221 from peastman/master,0
3848adc,2013-11-25 16:27:31,Bug fixes to wrapper generation.  Implemented wrappers for AMOEBA.,1
c63c2c0,2013-11-25 16:46:13,Removed files related to the old wrapper generators,0
537912e,2013-11-26 10:13:44,Include serialization classes directly in main library,0
56cf0fd,2013-12-03 10:49:32,Optimization to building neighbor list on CPU platform,0
5d0aece,2013-12-03 11:29:13,Merge pull request #222 from peastman/master,0
be04ec5,2013-12-04 10:28:47,Optimizations to CPU nonbonded forces: better load balancing between threads  use linear splines instead of cubic,0
3732e0e,2013-12-04 10:31:01,Merge pull request #223 from peastman/master,0
bbf3de2,2013-12-04 10:46:43,Created C/Fortran wrappers for serialization,0
b1be68d,2013-12-04 14:27:46,Enforce memory alignment to improve performance of vector operations.  Also fixed bugs in an earlier optimization.,1
6f3d9fd,2013-12-04 14:28:31,Merge pull request #224 from peastman/master,0
2cd817b,2013-12-04 17:48:31,More fixes for problems on OS X 10.9,0
7295908,2013-12-04 17:49:06,Merge pull request #225 from peastman/master,0
2882737,2013-12-05 15:48:34,Minor optimizations to CPU platform,0
d600e58,2013-12-05 15:48:54,Merge pull request #228 from peastman/master,0
1f1a28b,2013-12-05 16:53:13,Added implementation for equality __eq__() and inequality __ne__() operators,0
8d6d552,2013-12-05 21:22:48,Check type in __eq__() and __ne__()  simplify code,0
99f3a8a,2013-12-06 13:25:32,Further optimizations to CPU platform,0
6caf992,2013-12-06 13:25:55,Merge pull request #229 from peastman/master,0
4d25f4e,2013-12-06 15:36:12,Major simplification to constraint handling in reference platform,0
4c5e01a,2013-12-06 15:36:59,Merge pull request #230 from peastman/master,0
7b16da7,2013-12-06 17:07:31,Merge pull request #227 from pgrinaway/units,0
0674880,2013-12-09 10:10:43,Parallelized SETTLE on CPU platform,0
194d031,2013-12-09 10:11:19,Test case for SETTLE on CPU platform,0
d438735,2013-12-09 10:32:26,Merge pull request #231 from peastman/master,0
48498b1,2013-12-09 10:57:32,Fixed bug in pull request #227,1
1b94206,2013-12-09 10:58:00,Merge pull request #232 from peastman/master,0
0cb269f,2013-12-09 16:04:29,Still more fixes for problems on OS X 10.9,0
3176ab1,2013-12-09 16:04:57,Merge pull request #233 from peastman/master,0
9ec4f59,2013-12-10 11:46:32,Minor optimizations to CPU platform,0
ff6af02,2013-12-10 11:46:50,Merge pull request #235 from peastman/master,0
588a4c9,2013-12-10 14:03:07,Merged changes from main branch,0
24eb8d4,2013-12-10 15:03:48,Pickling an Element object works correctly,0
a78624e,2013-12-10 15:04:21,Merge branch 'master' of https://github.com/peastman/openmm,0
7a08404,2013-12-11 10:10:22,Merge pull request #237 from peastman/master,0
88a1153,2013-12-11 10:52:57,RPMD works correctly with a barostat,0
56e5e00,2013-12-11 10:53:18,Merge pull request #238 from peastman/master,0
b4150b1,2013-12-11 17:27:19,Fixes for compilation errors on Visual Studio 2013,1
5c227ef,2013-12-11 17:28:15,Merge pull request #239 from peastman/master,0
ec5d89d,2013-12-12 13:05:15,Bug fixes to Fortran wrappers,1
ef83021,2013-12-12 13:07:55,Plugins work with CPU platform.  This involved separating the reference implementations of plugins into their own libraries.,0
18eaf2c,2013-12-12 13:08:32,Merge pull request #241 from peastman/master,0
1a0d715,2013-12-12 14:17:25,Fixed errors when using pre-1.8 versions of Doxygen,1
7ff1faa,2013-12-12 15:39:52,All code is compiled with SSE enabled.  This eliminates errors with some compilers.,0
0865043,2013-12-12 15:40:21,Merge pull request #243 from peastman/master,0
8d062eb,2013-12-12 16:39:08,Reference implementation of AndersenThermostat did not handle massless particles correctly,0
306d1bb,2013-12-12 16:56:23,Merge pull request #244 from peastman/master,0
1049add,2013-12-13 11:06:19,Fixed compilation errors in debug mode,1
d56c21b,2013-12-13 11:37:35,Merged latest changes from main branch,0
0a4ffa8,2013-12-13 11:38:32,Minor fix to Python wrappers,0
911e27d,2013-12-13 11:41:21,Merge pull request #245 from peastman/wrappers,0
8beb127,2013-12-13 13:00:47,Detect if user specifies an unknown property name,0
2def811,2013-12-13 13:01:09,Merge pull request #246 from peastman/master,0
ce9e41a,2013-12-13 14:15:05,Fixed some incorrect parameters in SWM4-NDP water model,0
59982c0,2013-12-13 14:15:28,Merge pull request #247 from peastman/master,0
b989fd9,2013-12-13 15:53:50,Added option for setting CUDA host compiler,0
ddad7c6,2013-12-16 12:48:24,Created wrapper classes for AVX vectors,0
e22808f,2013-12-16 16:57:02,Created AVX implementation of CPU nonbonded force,0
b56f653,2013-12-16 18:00:42,"Add a salt concentration term to the custom GB forces and add an optional ""kappa"" keyword to the Amber createSystem method call to allow users to specify it.",0
a727539,2013-12-18 11:23:04,kappa -> implicitSolventKappa,0
5cd23ac,2013-12-18 14:28:51,Improved vectorization of CpuNonbondedForce,0
d4af874,2013-12-18 18:14:59,Automatically select whether to use the SSE or AVX version of CpuNonbondedForce,0
6cde186,2013-12-19 09:57:58,Fixed bug in detecting if AVX is supported,1
da998c5,2013-12-19 10:03:00,Merge pull request #251 from peastman/avx,0
ddf1216,2013-12-19 15:28:52,Parallelized LangevinIntegrator for CPU platform,0
3366382,2013-12-20 15:18:48,Fixed a compilation error on gcc 4.4,1
92b12c5,2013-12-20 15:19:26,Benchmark script did not set OpenCLPrecision correctly,0
39d270d,2013-12-20 15:21:06,Merge pull request #253 from peastman/master,0
83470b8,2013-12-20 15:59:43,Merge branch 'master' of https://github.com/peastman/openmm,0
f1258fc,2013-12-20 16:00:02,Merge pull request #254 from peastman/master,0
8bdf082,2013-12-20 16:49:11,Parallelized summing the forces from different threads,0
0b35240,2013-12-20 16:49:57,Merge pull request #255 from peastman/master,0
cc11a44,2013-12-20 17:38:30,Fixed quotes in command line when using CudaHostCompiler option,0
508f989,2013-12-21 23:38:02,Allow implicitSolventKappa to have units (it has dimensions of length) and convert the number to pure nanometers before using it in the GB code.,0
caefd49,2013-12-21 23:38:45,Merge branch 'master' of https://github.com/SimTk/openmm,0
3ca3fe5,2013-12-21 23:40:44,Oops  1/length  not length.,0
38f286e,2013-12-22 13:46:51,Unit-ify the 0 in implicitSolventKappa.,0
5219d2a,2013-12-22 15:36:22,Merge pull request #249 from swails/master,0
ce46b9b,2013-12-25 14:32:12,Bring GBn2 into the simtk.openmm.app namespace. Also remove some redundant references.,0
4c24a43,2013-12-25 17:47:23,Apparently 1/u.nanometers is a quantity rather than a unit  so the command:,0
a99915b,2013-12-27 12:14:20,Merge pull request #260 from swails/master,0
2410cbe,2013-12-27 19:20:19,Correct treatment of kappa when kappa == 0 and when there is a cutoff.,0
bb628e2,2013-12-30 16:58:52,Reset the dlopen flags,0
d511503,2013-12-30 17:11:13,unused variables,0
98ffd5f,2013-12-30 17:27:27,Just remove the whole nonsense,0
2558077,2014-01-01 16:32:45,"Fix misplacement of ""kappa"" in cutoff-GB expression.",0
9bb2259,2014-01-04 10:51:38,Added missing required kernel names (ApplyConstraintsKernel and VirtualSitesKernel) to check for platform capabilities  since these kernels are initialized in the next code block.,0
d373424,2014-01-04 21:27:30,Merge pull request #268 from jchodera/minor-context-fixes,0
742ab84,2014-01-06 10:36:21,Merge pull request #270 from peastman/host,0
29bfe07,2014-01-06 11:23:07,Workaround for compilation error on some compilers,0
192fe4c,2014-01-06 11:37:03,Merge pull request #271 from peastman/master,0
fc1d0b5,2014-01-06 12:32:09,Fixed some bugs identified by Valgrind,1
5e2170f,2014-01-06 12:32:36,Merge pull request #272 from peastman/master,0
d91e3f1,2014-01-06 14:34:32,Improved logic for selecting a platform to better deal with exceptions in context initialization,0
2e83bfc,2014-01-06 14:48:43,Merged changes between repositories by hand,0
64b0a6c,2014-01-06 15:46:23,Ensure SFMT data array is correctly aligned,0
9f95775,2014-01-06 15:57:11,Merge pull request #264 from rmcgibbo/reset-dlopen-flags,0
291484f,2014-01-06 16:09:45,Merge pull request #274 from peastman/sfmt,0
8502013,2014-01-06 16:27:39,Merge pull request #275 from swails/master,0
b3d9358,2014-01-06 19:06:00,Merge branch 'master' of http://github.com/SimTk/openmm,0
8b44287,2014-01-06 19:22:05,Merge branch 'master' of https://github.com/SimTk/openmm,0
2cbb8f4,2014-01-06 19:22:11,Merge branch 'master' of https://github.com/swails/openmm,0
06db7ac,2014-01-07 10:51:22,Very minor optimization,0
a4f7ac4,2014-01-07 10:51:23,Merge pull request #276 from peastman/master,0
72e81e0,2014-01-08 14:06:59,Fixed lots of compilation errors on Windows,1
6d356dd,2014-01-08 14:42:30,Merge pull request #277 from peastman/winvec,0
6c9b8cf,2014-01-08 14:49:51,StateDataReport can report % progress  speed  and time to completion,0
cf52e69,2014-01-08 17:33:17,Optimizations to CPU GBSA,0
d3469b8,2014-01-08 17:34:26,Merge pull request #279 from peastman/master,0
5c98328,2014-01-09 13:19:07,Fixed a bug that could potentially cause LJ energy to be nan,1
76d592d,2014-01-09 15:31:31,Fixed additional errors on Windows,1
e14ab7b,2014-01-09 15:55:47,Bug fix,1
8e24cfc,2014-01-09 15:56:48,Merge pull request #280 from peastman/master,0
8c918ca,2014-01-10 13:42:54,Updated Developer Guide for 6.0,0
db9528c,2014-01-10 13:43:21,Merge pull request #281 from peastman/master,0
e32e1a6,2014-01-10 15:36:49,Merge pull request #278 from peastman/progress,0
44e65cb,2014-01-10 16:21:04,Fixed a bug in OpenCL implementation of CustomGBForce,1
1e857c3,2014-01-10 16:55:15,Same bug fix as the previous commit  but for CUDA,1
f454559,2014-01-10 17:01:26,Merge pull request #282 from peastman/master,0
9723e3b,2014-01-13 16:34:44,Merge pull request #283 from peastman/master,0
75dc853,2014-01-13 16:36:01,Merge pull request #284 from peastman/master,0
19dd114,2014-01-13 23:30:02,Detect Visual Studio in a way that works correctly with NMake files,0
c285b60,2014-01-13 23:33:07,Detect Visual Studio in a way that works correctly with NMake files,0
6341257,2014-01-14 11:13:11,Merge pull request #285 from peastman/master,0
df56396,2014-01-14 11:37:50,Added methods for changing default parameters on barostats and thermostats,0
901108a,2014-01-14 11:38:52,Merge pull request #286 from peastman/master,0
bd54340,2014-01-14 15:05:30,Fixed a compilation error when building wrappers,1
2b10b61,2014-01-14 15:06:17,Merge pull request #287 from peastman/master,0
9966f13,2014-01-14 17:25:17,Test cases detect if CPU is not supported and exit rather than crashing,0
289abdc,2014-01-14 17:27:02,Merge pull request #288 from peastman/master,0
f16a609,2014-01-14 17:59:07,Change implicitSolentKappa to implicitSolventSaltConc and convert to implicitSolventKappa the same (black-magic) way that Amber does. I have never been able to reproduce the prefactor used to convert to kappa in Amber... sigh.,0
435be5e,2014-01-15 11:12:04,Workaround for bug in Visual Studio,0
feb0368,2014-01-15 16:02:11,Fixed a test case that occasionally failed,0
94fd5e0,2014-01-15 16:04:02,Merge pull request #289 from peastman/master,0
9e2c6b0,2014-01-16 11:17:11,Ensure that PYTHON_EXECUTABLE is visible to all CMake scripts,0
dbdb7f4,2014-01-16 11:20:14,Merge pull request #290 from peastman/master,0
55f008e,2014-01-16 16:27:59,Fixed an error in CMake script when compiling with clang,1
f2c4251,2014-01-16 16:28:28,Merge pull request #291 from peastman/master,0
9907260,2014-01-17 10:28:55,Updated version number to 6.0,0
de17b26,2014-01-17 10:29:17,Merge pull request #293 from peastman/master,0
7b0faf6,2014-01-17 12:00:57,Lots of documentation updates for 6.0,0
492e7f2,2014-01-17 12:01:54,Merge pull request #294 from peastman/master,0
9a127fa,2014-01-21 09:45:30,Merge branch 'master' of http://github.com/SimTk/openmm,0
8a279fe,2014-01-21 14:14:50,Added a .travis.yml file to allow Travis CI to perform build tests,0
0495db7,2014-01-21 15:40:56,fixed some parts of travis yml,0
77e12ee,2014-01-22 09:30:58,add explicit destination dir,0
d3e4e7e,2014-01-22 10:18:35,Temporarily commented out tests during debugging added ls /OpenMM/include to see what is happening with that,0
f5c6d5c,2014-01-22 10:29:19,changed to home directory for OpenMM root,0
739d025,2014-01-22 10:39:38,fixed ls directory error,1
9625696,2014-01-22 10:58:02,set destination directory with cmake instead of make,0
a7ae13a,2014-01-22 11:09:24,uncommented make test,0
4f33932,2014-01-22 11:53:14,Fixed errors in wrapper generation when using Visual Studio 2010,1
4380c7d,2014-01-22 11:54:03,Merge pull request #297 from peastman/master,0
543d51d,2014-01-22 12:14:35,Parallelized the computation of torsions with CPU platform,0
72df8d3,2014-01-22 12:20:06,Merge pull request #298 from peastman/master,0
146b66b,2014-01-22 13:10:15,Parallelized the initialization of positions and forces in the CPU platform,0
18629f7,2014-01-22 13:11:07,Merge pull request #299 from peastman/master,0
77a5424,2014-01-22 13:58:03,Fixed a compilation error,1
274b48e,2014-01-22 13:58:29,Merge pull request #300 from peastman/master,0
ee3fcb0,2014-01-23 10:57:38,Prevent trying to use the CPU OpenCL device on OS X,0
57a6768,2014-01-23 10:57:59,Merge pull request #301 from peastman/master,0
b2caf6c,2014-01-24 13:44:12,Fixed a crash caused by a change to initialization order,0
b661807,2014-01-24 13:44:53,Merge pull request #303 from peastman/master,0
8285d65,2014-01-27 15:51:20,CPU  CUDA  and OpenCL platforms can now be built statically,0
d65ff65,2014-01-27 16:25:30,PME Plugin can now be built statically,0
e168759,2014-01-28 07:52:41,Merge remote-tracking branch 'origin',0
9cdf9f3,2014-01-28 08:06:02,Also catch ValueError in _is_string. Fix indentation to be consistent (5 spaces to 4 -- this would be a SyntaxError in Python3).,0
57eba9d,2014-01-28 10:34:40,Fix linker issues for CPU platform on Windows,0
9519a9e,2014-01-28 10:47:02,Update implicit solvent salt concentration/kappa handling. Now  if implicitSolventKappa is provided it will be used. Otherwise  implicitSolventSaltConc will be used to compute kappa from the solvent dielectric constant and simulation temperature.,0
bb3d5d9,2014-01-28 10:48:53,Merge pull request #307 from swails/fix_is_string,0
f690c72,2014-01-28 10:54:53,Reference Amoeba and Drude static libraries can be built,0
a8bb863,2014-01-28 11:10:41,Use static pthread_mt libraries when doing static builds on windows,0
50b9d14,2014-01-28 11:49:35,Merge pull request #308 from swails/master,0
5ddfc6c,2014-01-28 11:52:56,Merge pull request #309 from proteneer/static_build,0
3872f39,2014-01-28 13:10:15,Convert temperature from a quantity to float if it's a quantity.,0
e8baa3b,2014-01-28 13:26:13,Convert 1/A to 1/nm,0
ad2c504,2014-01-28 20:43:06,changed to nosetests and commented out manual python tests,0
b93b7b2,2014-01-29 17:15:48,Merge pull request #296 from pgrinaway/master,0
493d2bf,2014-01-29 23:33:08,Add build status (travis) to readme.md,0
db0277d,2014-01-29 23:55:10,Update .travis.yml,0
c7a6155,2014-01-30 09:41:25,Merge pull request #310 from rmcgibbo/readme,0
fde182c,2014-01-31 15:47:11,Update pdbfile.py,0
baa7a8f,2014-01-31 15:48:12,Update amberprmtopfile.py,0
a6524f9,2014-02-03 10:26:50,Merge pull request #311 from cxhernandez/master,0
a2c68a6,2014-02-05 17:29:14,Merge pull request #319 from swails/master,0
fd1bb3d,2014-02-05 18:39:22,In the generated C wrappers  instantiate std::string arguments from 'const char*' by passing it straight to the std::string constructor rather than through a reinterpret_cast.  This solves segfaults when trying to use the OpenMM C-API (which is auto-generated from the generate*Wrappers.py scripts) when used with gcc/g++.  clang and clang++ seem to accept this (perhaps why it was not caught before).,0
6b6f7f1,2014-02-06 10:44:09,Fixed segfaults caused by errors in Fortran wrapper generation,1
f6eaf2b,2014-02-06 10:44:39,Merge pull request #320 from peastman/master,0
6109ba6,2014-02-07 11:06:40,Created PDF of latest manuals,0
382b98a,2014-02-07 11:07:13,Merge pull request #321 from peastman/master,0
e49231b,2014-02-10 09:50:31,Fixed an intermittent segfault,0
7a7055b,2014-02-10 09:51:11,Merge pull request #328 from peastman/master,0
