hash,time,message
74a8266,2008-06-04 23:57:02,Began implementing CudaPlatform
f1c1653,2008-06-11 15:10:08,Created platform generic AndersenThermostat test
7786647,2008-06-11 18:30:39,Debugged memory corruption in TestFindExclusions
dfe03fe,2008-06-11 21:04:41,Prevent lots of memory allocation crashes on linux for the openmmapi test programs
93fbd6a,2008-06-12 21:10:59,Attempt to address some windows nightly build errors
06f80f2,2008-06-19 19:27:25,1) Change CMakeLists.txt to use only one PROJECT name at a time Perhaps this will help nightly builds.
3353081,2008-06-20 19:38:27,Change several CMAKE_PROJECT_DIR to CMAKE_CURRENT_SOURCE_DIR in OpenMM/CMakeLists.txt  to probably help build when invoked from directory above.
90f31a6,2008-06-23 17:32:42,"Many changes to build OpenMM on Windows: 1) Added DLL export macros to many classes  enough to get tests to compile 2) Cosmetic changes to reduce warnings in Visual Studio:    a) change many ""for (int i =""... to ""for (size_t i =""... to avoid unsigned mismatch warnings    b) included many explicit static_cast<OpenMMReal>() casts to document places where double->float conversion warnings occur"
e22f6a3,2008-06-23 19:25:30,Converted two more ReferencePlatform tests to platform generic tests
ac0ec21,2008-06-23 22:34:12,Created platform-generic versions of the test of the ReferencePlatform test programs.
1d7ac0e,2008-07-09 21:41:25,Added neighbor list code
f189c54,2008-07-12 00:51:02,Implemented cutoffs and periodic boundary conditions for reference platform
9cea458,2008-07-18 17:41:09,Implemented cutoffs for 1-4 nonbonded interactions
9b08b9b,2008-08-07 19:39:15,Latest mods -- setup for nonbonded and bonded appears to work
4d5051b,2008-08-08 21:43:35,Bonded & Nonbonded classes
50090f9,2008-08-08 21:44:18,Base class for bonded/nonbonded classes
ff88dda,2008-08-14 21:44:56,Continuing implementation of Cuda platform
b53cd94,2008-08-15 00:34:36,Latest mods
e7c41fb,2008-08-15 20:31:33,Mods for OBC Gbsa
beef239,2008-08-16 00:17:33,Start Langevin
4511c20,2008-08-19 01:13:31,Mods
d00e8b6,2008-08-19 01:14:30,Mods
1adaefc,2008-08-20 00:28:20,Daily commit
4ed0093,2008-08-22 00:21:26,Daily commit
a475f0a,2008-08-26 00:51:26,Daily commit
ff8bd4e,2008-08-27 22:43:52,Brook SD code
4492ca2,2008-09-02 23:44:10,Modified Doxygen configuration to correctly produce API documentation
b25a17a,2008-09-05 23:35:03,Initial unit tests for StandardMMForceField pass
d0ff145,2008-09-05 23:37:36,Brook tests
6a4a17f,2008-09-11 01:26:13,Mods
18c9a78,2008-09-19 18:29:33,Attempting to get Cuda code to compile
22ecd65,2008-09-24 18:21:04,BrookCalcStandardMMForceFieldKernel: added _refForceField to calculate energy                                      overrides of bonded gathers for testing BrookGbsa:                           OBC parameters fixed  added energy calculation BrookCommon:                         added utility methods for allocating arrays
a01da38,2008-09-24 18:25:50,Updated tests w/ energy checks
04ea8ce,2008-09-24 20:02:05,Fixed lots of errors and warnings compiling under Windows
c7f6cd3,2008-09-24 20:13:11,Attempting to fix incorrect file capitalization introduced by Windows
3090a06,2008-09-24 20:13:30,Attempting to fix incorrect file capitalization introduced by Windows
c150c4d,2008-09-24 20:14:48,Attempting to fix incorrect file capitalization introduced by Windows
cc8b4de,2008-09-24 20:16:02,Attempting to fix incorrect file capitalization introduced by Windows
cb130f9,2008-09-25 21:36:50,Mods
10fc2f2,2008-09-26 00:18:31,Update
8c73b06,2008-09-26 00:18:51,Mods
7f00006,2008-09-27 00:05:42,Added Verlet test
baed018,2008-09-27 00:07:00,Added Verlet & KE code
003ef5c,2008-10-01 01:02:19,Added velocity-center-ofmass removal
e763e1c,2008-10-02 00:42:46,Mods
d3614c8,2008-10-02 00:43:29,Added functionality to BrookRemoveCMMotionKernel' fixed problem w/ BrookVelocityCenterOfMassRemoval
170e493,2008-10-03 00:46:27,Added Brownian dynamics code (including kernels)  renamed StochasticDynamics LangevinDynamics Added license to kernel and kernel include files
5c4a033,2008-10-11 00:50:03,Incorporating Cuda code into OpenMM
099b8e5,2008-10-15 00:41:04,Finished incorporating Cuda code into OpenMM
bf93e42,2008-10-15 18:06:39,Converted units from kcal/A to Joule/nm
a138663,2008-10-16 23:35:29,Changed how kernels get initialized.  StandardMMForceField now has you set the 1-4 interactions explicitly.  CMMotionRemover allows the removal frequency to be set.
bf9898e,2008-10-20 20:29:51,Working on making the GBSA test cases pass
8078c41,2008-10-21 20:44:51,Periodic box size is specified with box vectors instead of widths
ad75a39,2008-10-22 21:31:24,Split StandardMMForceField into separate classes for each force term.
62c4fd5,2008-10-22 22:07:53,"Renamed ""atoms"" to ""particles"""
3955743,2008-10-27 23:16:30,Created Cuda implementation of BrownianIntegrator
fc973cd,2008-10-28 00:29:29,Created Cuda implementation of VerletIntegrator
1b2ebaf,2008-10-29 21:03:40,Created Cuda implementation of AndersenThermostat.  Tweaked test cases for BrownianIntegrator.
3c100e6,2008-10-29 21:52:41,Renamed GBSAOBCForceField to GBSAOBCForce.
379499a,2008-10-30 21:35:40,removed redundant qualification ‘ReferenceForce::’ on member ‘getDeltaRPeriodic’ to get compile on linux
93354c2,2008-10-30 22:48:09,Several changes to get OpenMM to build on Linux  * capitalization of gpuTypes.h  * various cmake issues
8f2f6e3,2008-10-31 00:34:02,Lots of mystical CMake incantations to make Cuda platform compile both static and dynamic libraries correctly
a416009,2008-11-04 19:55:51,Implemented dynamic loading of platforms from DLLs.  Also fixed a lot of compilation errors and warnings under Windows.
ff35186,2008-11-04 22:40:42,Look harder for cuda install area on Windows
d263808,2008-11-06 23:30:32,Added cmake instructions to install libraries after building
b86e12c,2008-11-12 23:04:47,Fixed several bugs in OpenMM
c21572b,2008-11-13 23:21:49,Increased tolerances on test cases that were failing.
f8a19f1,2008-11-14 22:16:19,Changed cmake to choose install directory the same way as in SimTKcommon project
5cb5d89,2008-11-14 23:01:36,Link OpenMM library to libdl on linux
248522c,2008-11-16 02:20:16,Mods to allow Born radii to be updated if atomic positions updated off the board
0243298,2008-11-16 02:22:13,Obc forces were overwriting input forces instead of being added to input values
53f03e6,2008-11-17 22:55:25,Fixed a few problems related to GBSA
0107f59,2008-11-18 17:24:57,Stop trying to populate and delete third element of two-element particleList array in TestReferenceNeighborList.cpp. Memory corruption awaits...
c4933b5,2008-11-18 18:59:13,Constraint tolerance is now adjustable
806232c,2008-11-18 20:17:32,Fixed a test case that was failing  and enhanced several others
b920a17,2008-11-19 01:52:02,Modified Cuda and reference platforms to recalculate Born radii every step
d279014,2008-11-19 19:13:42,Optimization: introduced a kernel to clear forces at the start of each time step rather than relying on the stream
43a4b41,2008-11-21 01:00:05,Fixed a method that had the wrong return type
c66c80b,2008-12-10 20:03:24,New
feeabef,2008-12-10 20:05:24,New
01199dd,2008-12-10 20:26:59,Name changes and minor mods to sync w/ new interface
655700e,2008-12-10 20:31:41,Need to commit to rename
cdee990,2008-12-10 20:34:00,New names
309008f,2008-12-12 02:00:43,Mods
4061087,2008-12-13 00:49:11,Mods
9936ec4,2008-12-13 00:49:23,Mods
08c2e02,2008-12-16 02:15:22,Mods
7ed51ce,2008-12-17 01:28:07,Bonded forces ok
b31196d,2008-12-18 01:24:58,Latest
dd741b6,2008-12-18 01:25:56,Mods
980003c,2008-12-19 20:46:23,OpenMMContext.reinitialize() works correctly with CudaPlatform.  Also fixed an incorrect comment.
b7c8afa,2008-12-27 02:30:03,Mods
ef5f928,2008-12-29 22:41:18,Mods
956f318,2008-12-29 22:45:08,Mods
1da5441,2008-12-30 02:02:15,Mods
ca43baf,2008-12-31 01:44:46,Mods
116a99b,2009-01-01 01:17:03,Mods
8c3878b,2009-01-02 20:12:20,Mods
495a43c,2009-01-03 00:25:34,Add
1ce7d81,2009-01-03 00:25:49,Mods
cfb9c98,2009-01-03 01:53:38,Mods
8f1b8c6,2009-01-03 01:55:14,Mods
df58719,2009-01-05 21:18:05,Add integrator tests
0e675a1,2009-01-05 23:51:09,Mods
adb4ec5,2009-01-05 23:51:45,Mods
a058d6a,2009-01-07 02:16:18,Mods
9cfbfa4,2009-01-08 01:42:40,Mods
ce8d214,2009-01-09 03:51:02,Mods
d6132ea,2009-01-09 19:50:42,Mods
60dd93a,2009-01-10 02:27:01,Mods
e3a1a21,2009-01-11 02:44:53,Mods
180c245,2009-01-12 23:51:02,Mods
aff802d,2009-01-12 23:54:28,Mods
5675505,2009-01-13 01:49:38,Remove Brownian dynamics files -- not ready yet
7a51ccf,2009-01-13 04:23:59,Mods
d5ab0e7,2009-01-14 02:40:26,Mods
ea46c1c,2009-01-14 18:19:50,Renamed directory gpu -> kernels to match Cuda layout
92a981e,2009-01-14 23:18:17,Rename testBrookPeriodicTorsionForce/cpp
b1ba688,2009-01-14 23:18:33,Rename
337d484,2009-01-15 02:01:13,Mods
c6dc302,2009-01-15 02:01:22,Mods
5824286d,2009-01-15 20:26:20,Added TestBrookStream to exercise board  Langevin temperature test deactivated for now  Removed build of static versions of tests
e41c1b3,2009-01-15 20:31:37,Added createStreamImpl() to BrookStreamFactory w/o context argument Added  'OPENMM_EXPORT'  to class declaration to deal w/ linking issue associated w/ virtual methods in class Modified brook/brook-cmake/FindBrook.cmake to only look in $BROOKROOT directory for Brook files
0f83969,2009-01-16 17:28:24,Created a couple of cmake cache variables for conditional building of cuda and brook libraries Modified FindBrook.cmake to be a bit more specific about finding BROOK_INCLUDE_DIR  so it finds on my computer
594822f,2009-01-16 18:13:08,Tweak order of brook path and program searches  so BROOKROOT takes precedence
e38c9fb,2009-01-16 19:01:08,Use symbolic name of OpenMM library in OpenMMBrook TARGET_LINK_LIBRARIES stanza  so OpenMMBrook builds in both release and debug mode on my Windows box
1a8b5b6,2009-01-16 21:51:19,Added cmake install rule for OpenMMBrook library
5c58568,2009-01-17 02:06:19,Remove Reference references
a043fea,2009-01-17 02:27:39,Turned off diagnostics
ff7874d,2009-01-20 21:36:46,Added getPlatform() to OpenMMContext
c3e1acf,2009-01-22 19:26:04,Changed several brookPlatform copy statements to references in brook kernel files Commented out static platform variable  which may have caused initialization problems Some of the Brook tests now succeed on my computer for the first time.
0b7d0cc,2009-01-22 20:01:39,Cosmetic changes for most files Fixed setting of runtime in BrookPlatform() constructor (constructor w/o args): if 'brt_runtime' env variable not set  then internal 'runtime' variable was NULL -- this led to a fault when _setBrookRuntime() was called
f5d1ec2,2009-01-22 20:19:06,Removed static Brook tests
d179864,2009-01-22 21:11:50,Minor changes to remove compiler warnings
2a1569a,2009-01-22 21:32:04,Added ObcInfo.txt file for GBSA test  removed static test cases
3d006cb,2009-01-22 23:58:16,Added comment
f9c9843,2009-01-23 01:49:13,Commented in the line that registers the BrookPlatform (via registerBrookPlatform)
4a87b9b,2009-01-23 22:13:01,Modified/added CMake commands to allow input file name argument to be passed to TstBrookGBSAOBCForce Renamed TestBrookGBSAOBCForce.cpp to TstBrookGBSAOBCForce.cpp as part of adding command-line arg Modified TstBrookGBSAOBCForce.cpp to accept arg brook/CMakeLists.txt modified to allow developer to set flag for static libs/exes
5c1b44e,2009-01-26 19:01:25,Minor edits
95d7918,2009-01-26 19:01:51,Minor edits
38f6c8f,2009-01-27 18:36:51,Checked in Cuda code
bba540d,2009-01-28 18:58:40,Added Mike Houston to the author list for all the Brook files
5bd5dcb,2009-02-03 23:13:41,Set default initial state of cmake BUILD_CUDA and BUILD_BROOK to OFF  because virgin computers without CUDA generate loads of errors trying to find CUDA on cmake run.
b05c6aa,2009-02-05 02:33:03,Added code to set duplication factor based on min suggested threads Added more ik jl gathers for bonded forces Redid shared #define setting in CMakeList.txt
b96e155,2009-02-05 02:56:34,Problem w/ BrookPlatform::getDuplicationFactor() -- removing for now (hardwiring to 4 as before)
1449f97,2009-02-05 22:19:49,Minor edits  force duplicationFactor to 1 if no. particles < 65  for system w/ 32 atoms  NAN were appearing in nonbonded force term  plan to fix later
0b4066c,2009-02-18 20:55:22,Added code to set random number generator seed
641de89,2009-02-18 20:55:48,Added code to get/set random number generator seed
6eb3c41,2009-02-18 21:14:12,Initialize random number generator seed
73f248e,2009-02-18 22:47:43,Reactivated dupfac dynamic setting Made setting of RNG seed consistent w/ logic used for Cuda
8c0b407,2009-02-19 18:45:53,RNG seed mods for LangevinIntegrator
84dda6a,2009-02-19 18:47:34,If seed <=1  then use time() to generate seed
c87fe8a,2009-02-19 18:48:59,Added changes to get Static libs to work w/ OPENMM_EXPORT setting
d9de3c8,2009-02-19 18:49:26,Change for static lib and handling of OPENMM_EXPORT
2b5402d,2009-02-19 18:55:36,Mods for preprocessor flags for shared/static libs
08d6cc4,2009-02-19 19:20:37,Added preprocessor flag  OPENMM_BUILDING_SHARED_LIBRARY  to Cuda shared lib build
df4b64c,2009-02-19 20:52:10,Checked in explicit solvent implementation for Cuda platform (cutoffs  periodic boundary conditions  SETTLE)
1010df3,2009-02-19 20:59:06,Checking in Cuda implementation of explicit solvent
9b7a9f6,2009-02-20 01:22:48,Added missing header file
630bdd4,2009-02-20 01:29:40,Added other files that somehow got ommitted from earlier checkin
eb0bba2,2009-02-20 01:43:10,Implemented setting random seed for reference platform  as well as adding it as an option to BrownianIntegrator and AndersenThermostat.
6625540,2009-02-25 00:48:23,Added Linux version of CUDPP library
b98859e,2009-02-27 01:45:43,Minor speed optimization to neighbor list building
8055a54,2009-02-27 21:41:22,Reduced memory use for exclusions.  Also deleted some obsolete files.
aeb2f4a,2009-02-28 01:16:08,Reduced memory use for random numbers.  Also reduced the frequency of reordering water molecules.
56d7ed0,2009-03-06 00:56:06,Use Hilbert curve for reordering water molecules
e04283f,2009-03-10 22:47:59,Implemented finer grained neighbor list.  Also various minor optimizations.
a56ce87,2009-03-17 22:50:29,Fixed compilation warning under Windows.
ff0a69f,2009-03-24 20:35:14,Deleted lots of obsolete code.
389563e,2009-03-24 23:14:19,Keep atom coordinates in the first periodic cell to maintain precision.
72872e9,2009-03-31 21:36:03,Preliminary implementation of LINCS (both reference and Cuda)
e85347d,2009-04-01 00:05:37,Added file that got missed in last commit
5b01767,2009-04-02 16:05:17,Converted lots of ints to unsigned ints (might help performance a little by avoiding conversions)
d3b512a,2009-04-06 13:56:12,Implemented the Ewald summation method in the reference platform. Preliminary cuda prototype is included.
1b9ab82,2009-04-07 19:06:19,Real space Ewald (direct summation) is now in kCalculateCDLJForces.h  reciprocal summation is done in a separate kernel
968cb13,2009-04-08 00:13:05,Continuing implementation of LINCS for Cuda platform
306d99e,2009-04-08 18:04:37,Enhancements to CUDAStream to reduce the risk of bugs and make debugging easier
8a83a2f,2009-04-08 18:34:07,Fixed thread synchronization problem in LINCS kernel
04b9097,2009-04-09 20:23:42,Fixed several bugs in LINCS
297538f,2009-04-09 21:12:12,Reference code for GB/VI
95d1c38,2009-04-10 19:46:54,Improved LINCS performance by eliminating some uncoalesced memory access
e9dc198,2009-04-11 00:15:30,Modified some parameter names and doxygen comments to reduce confusion
bf7a968,2009-04-11 00:40:34,Modified CMakeLists to not assume the C: drive on Windows.
afd0664,2009-04-16 17:45:56,Optimized LINCS by merging kernels and implementing a syncAllThreads() function.
29e3fa5,2009-04-17 20:42:25,Redesigned the API for specifying exclusions and 1-4 interactions.
64493da,2009-04-17 23:19:00,Modified the API for lots of classes so that the number of particles/bonds/etc. need not be specified in the constructor.
11eab27,2009-04-17 23:43:44,Fixed a test case that failed on some GPUs.
b2c89fe,2009-04-17 23:45:26,CUDA platform would fail if you had a GBSAOBCForce but no NonbondedForce.
644cc27,2009-04-21 20:52:40,Moved header files into an openmm subdirectory
0f8e1fe,2009-04-21 21:39:06,Headers were not getting installed correctly
5d3447e,2009-04-22 19:08:34,Created Units.h to simplify unit conversions.  Also fixed some Doxygen problems.
7629ea4,2009-04-22 19:39:38,Minor fixes to some recent changes that prevented compilation (Mark looked at these). This code still has never been tested  at least on Windows.
e702e8b,2009-04-22 20:55:05,(1) Minor changes to get rid of warnings from VC++. (2) I disabled the block of code in the main CMakeLists file that tries to second guess VC++'s choices for runtime libraries. This was required for me to get CUDA to work in VC 2005 where the compiler always chooses multithreaded libraries. I verified that Brook will still build this way  but I haven't tested it.
0180a46,2009-04-22 20:55:24,Fixed compilation errors under Windows in reference Ewald summation code.
351563b,2009-04-22 21:14:30,Fixed a compilation error under Windows
f6352d8,2009-04-23 03:35:07,(1) Fixed more VC++ warnings  this is almost clean now. (2) Changed erfc.cpp to a header file which defines missing erf() and erfc() as static functions when using VC++ but otherwise does nothing. (3) Replaced all nonstandard uses of real() and imag() methods as lvalues  instead work directly with the complex values. (4) Fixed a bug in TestFindExclusions which was caught by VC++'s extensive STL debug mode self-examination.
4c0c564,2009-04-23 21:57:23,Fixed compilation problems under Windows
d63d3fc,2009-04-24 17:55:48,Implemented Platform::loadPluginsFromDirectory()
c97d5ee,2009-04-24 18:56:33,Optimization: eliminated an unnecessary gpu->cpu data transfer on each time step
671419f,2009-04-27 23:24:16,Avoid use of M_PI in header since it is non-standard.
52a68c8,2009-05-01 22:23:27,Created reference implementation of rigid shake algorithm.  Added the JAMA package to OpenMM.
ddceaa1,2009-05-01 22:28:36,A test case accidentally got commented got.
7254af5,2009-05-01 23:03:44,Added Platform::getDefaultPluginDirectory().  Plugins are now installed into .../openmm/lib/plugins.
077241d,2009-05-01 23:08:45,Renamed getDefaultPluginDirectory() to getDefaultPluginsDirectory().
5610057,2009-05-01 23:27:29,The various addX() methods return the index of the thing they just added
1775e49,2009-05-04 16:09:14,Eliminated some Windows build warnings.
b1cffec,2009-05-06 19:52:13,(1) Made Platform::loadPluginLibrary() for Windows leave the end user alone if a failure occurs -- was throwing up an error box. (2) Made Platform::loadPluginsFromDirectory() on Windows find only .dll's.
b2da847,2009-05-06 20:56:09,Began CUDA implementation of C-SHAKE algorithm
852bfae,2009-05-06 23:18:15,Fixed a bug in random number generation for the CUDA platform.  Updated test cases.
4ef9536,2009-05-12 20:49:45,Eliminate some VC++ unsigned/signed warnings.
f329a04,2009-05-13 20:51:19,Completed Cuda implementation of CSHAKE algorithm
10379a9,2009-05-14 00:47:47,Updated license for Cuda platform to LGPL.
aca30cd,2009-05-14 16:00:21,Add newline to end of kRandom.cu to avoid compiler warning on Linux
c99e7ab,2009-05-14 22:57:07,Eliminate some VC++ build problems via the usual expedient of explicit casts from unsigned to signed and from double to float. TNT Arrays apparently can't be indexed with unsigned because VC++ finds something ambiguous then above their operator[] methods.
5760684,2009-05-14 22:58:17,I'm checking in very early attempts at OpenMM Hello World examples so Chris and I can work on them together.
fe1e6ff,2009-05-15 14:58:40,Completed Cuda implementation of Ewald method
043c7b6,2009-05-15 17:27:19,Optimizations to CUDA C-SHAKE implementation
27ff4f1,2009-05-15 20:47:21,Improved how the constraint matrices for C-SHAKE get built
3ec08ba,2009-05-15 22:11:12,Added Hello Argon  made some mods to the other examples.
0b4ce03,2009-05-16 01:01:39,License header changes  force duplication factor to 4  fixed potential problem w/ Shake -- if no constraints  pgm crashes
7f98d2c,2009-05-16 01:02:08,License header changes
bc8ab35,2009-05-18 19:41:46,Fixed a bug in Platform::getDefaultPluginsDirectory() on Windows.
a7a4f3c,2009-05-19 17:08:16,Cleaned up Cuda-Ewald
b6f2161,2009-05-19 22:43:48,Added HelloEthane.
52c0455,2009-05-20 00:49:25,Improved how matrices get calculated for reference C-SHAKE algorithm.
353529b,2009-05-21 08:35:40,Preliminary implementation of faster (N^3/2) Ewald kernels in Cuda
f23db9f,2009-05-21 18:26:29,Chris code-reviewed this so now it is the official HelloEthane example.
6fd7f3b,2009-05-21 23:56:47,Working on new constraint algorithm
9fdfaca,2009-05-22 22:46:01,More work on fast Ewald (N^3/2) in Cuda
7fccb08,2009-05-28 04:11:17,Fixed compilation problems on Windows.
39d85db,2009-06-02 04:19:22,Reworked the NaCl example per dryrun feedback and fixed some warnings in ethane example.
b3e0876,2009-06-02 04:26:41,gcc wants a newline at end of file
f809d19,2009-06-02 04:33:22,Minor tweaks.
9c8db8b,2009-06-02 04:42:14,fix up ugly line endings
fa66c66,2009-06-02 17:34:40,Per workshop dryrun  leave OpenMM:: namespace prefix explicit to clarify what's part of OpenMM and what's not.
47a6fb1,2009-06-03 00:39:49,Created initial CUDA implementation of new constraint algorithm
5b8cade,2009-06-04 22:46:53,Completed CUDA implementation of new constraint algorithm
2c11d35,2009-06-09 20:14:21,"This is the ""final"" version of the HelloSodiumChloride example in C++. It has now been reorganized to put all the OpenMM calls in a few high-level functions whose interfaces do not use OpenMM. Also  the periodic box is gone with GBSA implicit solvation in place instead."
f752318,2009-06-09 22:48:51,Created water box example in C++
346b910,2009-06-10 04:27:55,Check in HelloSodiumChloride example in C.
740ab64,2009-06-10 04:28:20,Minor updates to NaCl example in C++.
8b680c0,2009-06-10 04:30:37,This is the right version.
b36ac4e,2009-06-10 04:31:54,Allow for C examples.
8276754,2009-06-10 04:33:27,Add wrappers subdirectory.
be08b94,2009-06-10 04:34:17,Check in C wrapper.
430536d,2009-06-10 04:36:21,Check in early attempt at NaCl example in Fortran  needs to be modified to match the latest C++ and C examples.
451980a,2009-06-10 04:38:20,Checkin CMake for building the C wrappers. Checkin first attempt at Fortran 95 interface in the form of an OpenMM module. I don't know any way to build this with CMake.
804ffc6,2009-06-10 16:00:14,Added doxygenable comment that Langevin friction coefficient is in units of collisions per picosecond (as opposed to picoseconds)  which Sherm and I deduced by reading reference implementation and testing extreme values.
3f5d98a,2009-06-10 16:04:08,Thanks to Chris  we now know that the Langevin friction parameter is in ONE OVER picoseconds  NOT picoseconds!!
28a5f81,2009-06-10 16:07:00,Use AndersenThermostat instead of LangevinIntegrator for thermostat in HelloWaterBox.cpp
8528083,2009-06-10 16:07:59,remove debugging printfs
b202be8,2009-06-10 16:19:20,Change NaCl example to report at 50fs rather than 10fs.
9187b70,2009-06-10 19:43:30,Added OPENMM_EXPORT tag to quern functions -- needed for Windows
fcd7b0c,2009-06-10 23:55:52,update fortran NaCl example
403686a,2009-06-11 18:23:30,Refactor HelloArgon toward better first example program
5454955,2009-06-11 18:31:37,More refactoring of HelloArgon.cpp
e19d9e7,2009-06-11 18:42:50,More tweaking HelloArgon.cpp
c97d87d,2009-06-11 18:48:05,Some minor mods/additions to C wrappers (primarily for Fortran support).
7b5ba52,2009-06-11 20:36:42,
7e73fad,2009-06-11 21:27:53,Optimization to constraint algorithm: skip the last iteration as soon as we see that all constraints have converged.
e038e57,2009-06-11 21:38:04,Use stdlib.h for malloc  NOT malloc.h!
cbee751,2009-06-11 21:39:23,Fixed an incorrect doxygen comment
9fc0fef,2009-06-11 21:52:10,comment out static build of C examples for now
b1b4e54,2009-06-11 22:01:04,Increased well depth for HelloArgon.cpp Decreased step size and simulation time
7cbeb28,2009-06-11 22:02:54,Added some missing imports in examples
4bf75f3,2009-06-11 22:13:36,Fixed an error linking the examples
796b560,2009-06-11 22:15:39,CUDA local force kernel applied periodic boundary conditions incorrectly.
acf79ff,2009-06-11 23:23:50,Fortran NaCl example is getting close now
0df0cd8,2009-06-11 23:24:33,Fix some comments.
aeed917,2009-06-12 00:10:57,This might be the final NaCl in Fortran
f337005,2009-06-12 00:25:25,Added some comments
f62ba9d,2009-06-12 03:37:37,Minor tweaks and comments.
05259f7,2009-06-12 22:47:24,Cleaned up constraint code and deleted obsolete constraint implementations
3007cf5,2009-06-13 00:35:46,In calcForces() kReduceBornSumAndForces kernel is not needed since Born radii/Obc chain term now calculated prior to calculation of forces Modified kCalculateObcGbsaBornSum kernel loop to match that in kCalculateCDLJObcGbsaForces1  Born sums are zero w/o mods
5bce614,2009-06-14 23:57:08,(1) Changed HelloArgon to avoid use of now-obsolete context.getTime() to avoid future problems with variable step integration. (2) Added HelloArgonInC.
b12bd24,2009-06-16 19:28:16,Modified TestCudaGBSAOBCForce to make atoms closer together
138c1c8,2009-06-16 21:54:39,Fixed a bug in local force computation that produced a launch failure on Linux
a8783de,2009-06-17 04:40:45,Reworked the Ethane example to use the same structure as the NaCl one  and made a few minor changes to NaCl too.
9aaeed2,2009-06-17 17:19:58,Fix Ethane test to use *either* harmonic bond force *or* constraint  not both.
a994767,2009-06-17 17:38:20,Use either bond constraints or harmonic stretch  but not both  in HelloWaterBox.cpp
ec09c1e,2009-06-17 20:43:42,small improvement from workshop dry run
974b731,2009-06-17 20:50:07,add Argon example in fortran
adac886,2009-06-17 20:56:18,remove context.getTime()
8172068,2009-06-17 20:57:18,Remove context.getTime() from wrappers (it is obsolete). Use state.getTime() instead.
2763eed,2009-06-17 22:55:21,Eliminate two double-to-float conversion warnings by explicit casts to RealOpenMM.
35f0c21,2009-06-18 03:41:56,Reorganized the HelloWaterBox example to look like a clone of the HelloEthane example.
0accdd2,2009-06-18 03:47:52,Minor comment change.
2964775,2009-06-18 03:48:13,Fix  but this is going away.
49e0e61,2009-06-18 03:48:43,Not a good example.
801ca67,2009-06-18 04:11:35,Change name of Fortran wrapper.
989bb50,2009-06-18 04:21:18,Fix comments and cmake script for wrappers.
09e1c92,2009-06-18 04:31:06,line ending
173e347,2009-06-18 04:54:12,Put some text in the readme file.
f345a34,2009-06-18 16:14:12,Check in makefile for examples (not functional yet).
93ebe18,2009-06-18 17:06:46,works on linux 32 now
17d1268,2009-06-18 17:35:52,Move wrappers into examples directory to make it easier to build them.
ce1dd0b,2009-06-18 17:37:50,remove unused file
692d0eb,2009-06-18 17:44:24,gone
1352282,2009-06-18 17:50:00,fix comment
e2ead8b,2009-06-18 18:17:49,Check in some visual studio project files for the workshop examples.
