Class,Lines,Lines,Lines,Lines,Average,Average,Average,Maximum,Ratio,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC
CpuGBVI,974,235,471,268,34,3,3,16,0.57%,79,0,0,4,0,22,13,2,22
CpuLangevinDynamics,147,12,97,38,11,0,1,3,0.39%,61,2,1,4,0,25,8,9,8
CpuLangevinDynamics::Update1Task,9,0,9,0,2,0,1,1,0.00%,0,1,1,2,0,3,2,1,2
CpuLangevinDynamics::Update2Task,9,0,9,0,2,0,1,1,0.00%,0,1,1,2,0,3,2,1,2
CpuObc,584,144,305,135,39,3,4,17,0.44%,74,0,0,4,0,13,13,3,13
CSHA1,252,41,184,19,19,0,3,8,0.10%,82,0,0,2,0,10,10,8,10
CudaCMAPTorsionForceInfo,29,0,29,0,6,0,1,1,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomAngleForceInfo,29,0,29,0,6,0,1,3,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomBondForceInfo,28,0,28,0,5,0,1,3,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomCompoundBondForceInfo,24,0,24,0,4,0,1,3,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomExternalForceInfo,31,0,31,0,12,0,3,5,0.00%,0,1,1,1,0,8,2,2,2
CudaCustomGBForceInfo,30,0,30,0,5,0,1,3,0.00%,19,1,1,1,0,11,5,1,5
CudaCustomHbondForceInfo,75,0,75,0,14,0,3,11,0.00%,19,1,1,1,0,11,5,1,5
CudaCustomManyParticleForceInfo,32,0,32,0,5,0,1,4,0.00%,19,1,1,1,0,11,5,1,5
CudaCustomNonbondedForceInfo,44,0,44,0,7,0,2,5,0.00%,40,1,1,2,0,11,5,2,5
CudaCustomTorsionForceInfo,30,0,30,0,6,0,1,3,0.00%,0,1,1,1,0,10,4,1,4
CudaDrudeForceInfo,57,0,57,0,13,0,2,5,0.00%,0,1,1,1,0,10,4,1,4
CudaGBSAOBCForceInfo,13,0,13,0,4,0,1,1,0.00%,0,1,1,1,0,8,2,1,2
CudaHarmonicAngleForceInfo,26,0,26,0,5,0,1,1,0.00%,0,1,1,1,0,10,4,1,4
CudaHarmonicBondForceInfo,25,0,25,0,5,0,1,1,0.00%,0,1,1,1,0,10,4,1,4
CudaNonbondedForceInfo,31,0,31,0,5,0,1,1,0.00%,0,1,1,1,0,11,5,1,5
CudaPeriodicTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,1,0,10,4,1,4
CudaRBTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,1,0,10,4,1,4
ExampleFunction,22,0,22,0,5,0,2,5,0.00%,0,1,1,0,0,9,4,0,4
fvec4,80,1,79,0,2,0,1,1,0.00%,3,0,0,0,0,26,26,1,26
fvec4,76,1,75,0,2,0,1,1,0.00%,7,0,0,0,0,26,26,1,26
fvec4,93,2,90,2,3,0,1,5,0.02%,3,0,0,1,0,26,26,1,26
fvec8,77,1,76,0,2,0,1,1,0.00%,3,0,0,1,0,27,27,1,27
GBVIParameters,463,83,186,194,5,0,1,3,1.04%,89,0,0,3,0,27,27,14,27
int2,52,6,37,9,4,0,1,1,0.24%,25,0,0,0,0,8,8,1,8
IntVec,55,6,40,9,4,0,1,1,0.23%,25,0,0,0,0,8,8,1,8
IO,11,0,11,0,3,0,1,1,0.00%,50,1,1,0,0,4,2,2,2
ivec4,74,1,73,0,2,0,1,1,0.00%,4,0,0,0,0,24,24,1,24
ivec4,70,1,69,0,2,0,1,1,0.00%,12,0,0,0,0,24,24,1,24
ivec4,82,2,80,1,3,0,1,5,0.01%,4,0,0,1,0,24,24,1,24
ivec8,32,1,31,0,2,0,1,1,0.00%,8,0,0,1,0,12,12,1,12
JAMA::Cholesky,159,26,102,8,24,1,4,8,0.08%,33,0,0,2,0,6,6,2,6
JAMA::Eigenvalue,953,151,670,141,84,7,14,70,0.21%,62,0,0,2,0,10,10,9,10
JAMA::LU,288,67,173,48,21,1,5,12,0.28%,50,0,0,2,0,10,10,5,10
JAMA::QR,284,49,178,62,28,2,7,13,0.35%,17,0,0,2,0,7,7,4,7
JAMA::SVD,496,68,380,50,57,5,12,88,0.13%,52,0,0,2,0,8,8,5,8
Lepton::CompiledExpression,153,6,117,17,11,0,2,8,0.15%,75,0,0,5,0,13,13,9,13
Lepton::CustomFunction,28,0,9,19,2,0,1,1,2.11%,0,0,0,0,12,5,5,0,5
Lepton::Exception,12,0,12,0,2,0,1,1,0.00%,33,1,1,1,0,4,3,1,3
Lepton::ExpressionProgram,95,0,75,20,5,0,1,4,0.27%,54,0,0,5,0,11,11,3,11
Lepton::ExpressionTreeNode,110,0,76,34,4,0,2,7,0.45%,38,0,0,3,0,13,13,2,13
Lepton::Operation,1240,1,1199,40,2,0,1,1,0.03%,0,0,0,5,37,11,11,0,11
Lepton::Operation::Abs,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Acos,31,0,31,0,3,0,1,1,0.00%,0,1,1,9,0,18,7,0,7
Lepton::Operation::Add,30,0,30,0,2,0,1,1,0.00%,0,1,1,2,0,20,9,0,9
Lepton::Operation::AddConstant,35,0,35,0,3,0,1,1,0.00%,33,1,1,2,0,20,9,1,9
Lepton::Operation::Asin,30,0,30,0,3,0,1,1,0.00%,0,1,1,8,0,18,7,0,7
Lepton::Operation::Atan,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Constant,35,0,35,0,3,0,1,1,0.00%,33,1,1,2,0,20,9,1,9
Lepton::Operation::Cos,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Cosh,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Cot,28,0,28,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Csc,29,0,29,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Cube,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Custom,55,0,55,0,4,0,1,3,0.00%,47,1,1,6,0,22,11,4,11
Lepton::Operation::Delta,24,0,24,0,2,0,1,2,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Divide,31,0,31,0,3,0,1,1,0.00%,0,1,1,5,0,19,8,0,8
Lepton::Operation::Erf,31,0,31,0,3,0,1,1,0.00%,0,1,1,7,0,19,8,0,8
Lepton::Operation::Erfc,31,0,31,0,3,0,1,1,0.00%,0,1,1,7,0,19,8,0,8
Lepton::Operation::Exp,26,0,26,0,3,0,1,1,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Log,26,0,26,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Max,30,0,29,1,3,0,1,1,0.03%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Min,30,0,29,1,3,0,1,1,0.03%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Multiply,32,0,32,0,3,0,1,1,0.00%,0,1,1,3,0,20,9,0,9
Lepton::Operation::MultiplyConstant,36,0,36,0,3,0,1,1,0.00%,22,1,1,2,0,20,9,1,9
Lepton::Operation::Negate,24,0,24,0,2,0,1,1,0.00%,0,1,1,2,0,18,7,0,7
Lepton::Operation::Power,38,0,38,0,4,0,1,1,0.00%,0,1,1,6,0,19,8,0,8
Lepton::Operation::PowerConstant,65,1,63,1,5,0,1,5,0.02%,63,1,1,4,0,21,10,3,10
Lepton::Operation::Reciprocal,28,0,28,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Sec,28,0,28,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Sin,26,0,26,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Sinh,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Sqrt,28,0,28,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Square,27,0,27,0,3,0,1,1,0.00%,0,1,1,4,0,18,7,0,7
Lepton::Operation::Step,24,0,24,0,2,0,1,2,0.00%,0,1,1,3,0,18,7,0,7
Lepton::Operation::Subtract,27,0,27,0,2,0,1,1,0.00%,0,1,1,2,0,19,8,0,8
Lepton::Operation::Tan,27,0,27,0,3,0,1,1,0.00%,0,1,1,5,0,18,7,0,7
Lepton::Operation::Tanh,29,0,29,0,3,0,1,1,0.00%,0,1,1,6,0,18,7,0,7
Lepton::Operation::Variable,35,0,35,0,3,0,1,2,0.00%,25,1,1,5,0,19,8,1,8
Lepton::ParsedExpression,339,1,286,106,14,3,5,63,0.37%,88,0,0,22,0,26,19,1,26
Lepton::Parser,341,19,302,20,39,1,10,29,0.07%,0,0,0,43,0,15,7,0,15
Lepton::ParseToken,16,1,15,0,2,0,1,1,0.00%,33,0,0,0,0,3,3,2,3
ObcParameters,465,83,184,198,5,0,1,3,1.08%,90,0,0,3,0,29,29,17,29
OpenCLCMAPTorsionForceInfo,29,0,29,0,6,0,1,1,0.00%,0,1,1,1,0,11,4,1,4
OpenCLCustomAngleForceInfo,29,0,29,0,6,0,1,3,0.00%,0,1,1,1,0,11,4,1,4
OpenCLCustomBondForceInfo,28,0,28,0,5,0,1,3,0.00%,0,1,1,1,0,11,4,1,4
OpenCLCustomCompoundBondForceInfo,24,0,24,0,4,0,1,3,0.00%,0,1,1,1,0,11,4,1,4
OpenCLCustomExternalForceInfo,31,0,31,0,12,0,3,5,0.00%,0,1,1,1,0,9,2,2,2
OpenCLCustomGBForceInfo,30,0,30,0,5,0,1,3,0.00%,19,1,1,1,0,12,5,1,5
OpenCLCustomHbondForceInfo,75,0,75,0,14,0,3,11,0.00%,19,1,1,1,0,12,5,1,5
OpenCLCustomManyParticleForceInfo,32,0,32,0,5,0,1,4,0.00%,19,1,1,1,0,12,5,1,5
OpenCLCustomNonbondedForceInfo,44,0,44,0,7,0,2,5,0.00%,40,1,1,2,0,12,5,2,5
OpenCLCustomTorsionForceInfo,30,0,30,0,6,0,1,3,0.00%,0,1,1,1,0,11,4,1,4
OpenCLDrudeForceInfo,57,0,57,0,13,0,2,5,0.00%,0,1,1,1,0,11,4,1,4
OpenCLGBSAOBCForceInfo,13,0,13,0,4,0,1,1,0.00%,0,1,1,1,0,9,2,1,2
OpenCLHarmonicAngleForceInfo,26,0,26,0,5,0,1,1,0.00%,0,1,1,1,0,11,4,1,4
OpenCLHarmonicBondForceInfo,25,0,25,0,5,0,1,1,0.00%,0,1,1,1,0,11,4,1,4
OpenCLNonbondedForceInfo,31,0,31,0,5,0,1,1,0.00%,0,1,1,1,0,12,5,1,5
OpenCLPeriodicTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,1,0,11,4,1,4
OpenCLRBTorsionForceInfo,27,0,27,0,5,0,1,1,0.00%,0,1,1,1,0,11,4,1,4
OpenMM::AlignedArray,57,0,39,18,4,0,1,3,0.46%,55,0,0,0,0,9,9,3,9
OpenMM::AmoebaAngleForce,190,15,90,85,3,0,1,1,0.94%,77,1,1,4,0,22,15,5,15
OpenMM::AmoebaAngleForce::AngleInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,5,2
OpenMM::AmoebaAngleForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,9,0,17,9,2,9
OpenMM::AmoebaAngleForceProxy,49,5,44,0,14,0,2,4,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaBondForce,144,12,70,62,3,0,1,1,0.89%,66,1,1,4,0,18,11,3,11
OpenMM::AmoebaBondForce::BondInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,4,2
OpenMM::AmoebaBondForceImpl,53,1,51,2,3,0,1,2,0.04%,50,1,1,9,0,18,10,2,10
OpenMM::AmoebaBondForceProxy,42,2,40,0,12,0,2,4,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaCudaKernelFactory,43,12,31,0,39,0,12,12,0.00%,0,1,1,29,0,3,1,0,1
OpenMM::AmoebaGeneralizedKirkwoodForce,176,18,88,70,3,0,1,1,0.80%,82,1,1,4,0,24,17,7,17
OpenMM::AmoebaGeneralizedKirkwoodForce::ParticleInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,3,2
OpenMM::AmoebaGeneralizedKirkwoodForceImpl,50,3,46,2,4,0,1,3,0.04%,44,1,1,11,0,17,9,2,9
OpenMM::AmoebaGeneralizedKirkwoodForceProxy,53,6,45,2,15,0,2,4,0.04%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaInPlaneAngleForce,198,15,95,88,3,0,1,1,0.93%,77,1,1,4,0,22,15,5,15
OpenMM::AmoebaInPlaneAngleForce::AngleInfo,13,0,13,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,6,2
OpenMM::AmoebaInPlaneAngleForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,9,0,17,9,2,9
OpenMM::AmoebaInPlaneAngleForceProxy,49,5,44,0,14,0,2,4,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaMultipoleForce,538,60,264,214,6,0,1,3,0.81%,90,1,1,4,0,37,30,12,30
OpenMM::AmoebaMultipoleForce::MultipoleInfo,43,9,34,0,15,0,1,1,0.00%,4,0,0,2,0,2,2,11,2
OpenMM::AmoebaMultipoleForceImpl,201,21,162,19,10,0,2,10,0.12%,76,1,1,12,0,23,12,2,15
OpenMM::AmoebaMultipoleForceProxy,142,26,109,7,45,2,3,6,0.06%,0,1,1,4,0,17,3,0,3
OpenMM::AmoebaOutOfPlaneBendForce,196,17,94,85,4,0,1,1,0.90%,77,1,1,4,0,22,15,5,15
OpenMM::AmoebaOutOfPlaneBendForce::OutOfPlaneBendInfo,14,1,13,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,5,2
OpenMM::AmoebaOutOfPlaneBendForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,9,0,17,9,2,9
OpenMM::AmoebaOutOfPlaneBendForceProxy,47,3,44,0,13,0,2,4,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaPiTorsionForce,116,7,58,51,4,0,1,1,0.88%,28,1,1,4,0,14,7,1,7
OpenMM::AmoebaPiTorsionForce::PiTorsionInfo,12,0,12,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,7,2
OpenMM::AmoebaPiTorsionForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,9,0,17,9,2,9
OpenMM::AmoebaPiTorsionForceProxy,36,0,36,0,10,0,2,4,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaReferenceKernelFactory,44,12,30,2,40,2,12,12,0.07%,0,1,1,28,0,3,1,0,1
OpenMM::AmoebaStretchBendForce,125,8,66,51,5,0,1,1,0.77%,28,1,1,4,0,14,7,1,7
OpenMM::AmoebaStretchBendForce::StretchBendInfo,15,1,14,0,5,0,1,1,0.00%,0,0,0,0,0,2,2,7,2
OpenMM::AmoebaStretchBendForceImpl,42,0,41,2,3,0,1,2,0.05%,50,1,1,9,0,17,9,2,9
OpenMM::AmoebaStretchBendForceProxy,39,3,36,0,11,0,2,4,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaTorsionTorsionForce,283,32,180,71,5,0,1,2,0.39%,50,1,1,4,0,16,9,2,9
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionGridInfo,130,20,104,6,19,1,5,25,0.06%,50,0,0,2,0,6,6,4,6
OpenMM::AmoebaTorsionTorsionForce::TorsionTorsionInfo,17,3,14,0,4,0,1,1,0.00%,0,0,0,0,0,2,2,7,2
OpenMM::AmoebaTorsionTorsionForceImpl,142,18,98,10,14,1,2,12,0.10%,61,1,1,11,0,17,8,2,9
OpenMM::AmoebaTorsionTorsionForceProxy,88,12,69,7,27,2,4,6,0.10%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaVdwForce,263,25,126,112,4,0,1,4,0.89%,83,1,1,5,0,26,19,8,19
OpenMM::AmoebaVdwForce::VdwInfo,14,0,14,0,4,0,1,1,0.00%,19,0,0,0,0,2,2,5,2
OpenMM::AmoebaVdwForceImpl,234,16,185,43,21,3,2,16,0.23%,55,1,1,12,0,18,9,2,10
OpenMM::AmoebaVdwForceProxy,70,12,57,1,21,0,3,5,0.02%,0,1,1,3,0,17,3,0,3
OpenMM::AmoebaWcaDispersionForce,175,10,126,39,3,0,1,1,0.31%,85,1,1,4,0,30,23,9,23
OpenMM::AmoebaWcaDispersionForce::WcaDispersionInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,2,2
OpenMM::AmoebaWcaDispersionForceImpl,138,16,104,19,9,0,1,4,0.18%,59,1,1,11,0,19,9,2,11
OpenMM::AmoebaWcaDispersionForceProxy,59,8,51,0,17,0,2,4,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::AndersenThermostat,88,0,42,46,3,0,1,1,1.10%,73,1,1,3,0,17,8,3,10
OpenMM::AndersenThermostatImpl,77,4,65,8,6,0,1,5,0.12%,66,1,1,8,0,17,7,2,9
OpenMM::AndersenThermostatProxy,32,0,32,0,8,0,2,4,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::ApplyAndersenThermostatKernel,21,0,10,11,2,0,1,1,1.10%,0,1,1,5,3,9,3,0,4
OpenMM::ApplyConstraintsKernel,28,0,11,17,2,0,1,1,1.55%,0,1,1,4,3,10,4,0,5
OpenMM::ApplyMonteCarloBarostatKernel,35,0,11,24,2,0,1,1,2.18%,0,1,1,5,3,10,4,0,5
OpenMM::BrownianIntegrator,125,0,65,60,4,0,1,2,0.92%,77,1,1,6,0,24,12,4,12
OpenMM::BrownianIntegratorProxy,28,1,27,0,7,0,1,2,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::CalcAmoebaAngleForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaBondForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaGeneralizedKirkwoodForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaInPlaneAngleForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaMultipoleForceKernel,43,8,15,20,2,0,1,1,1.33%,0,1,1,6,2,13,7,0,8
OpenMM::CalcAmoebaOutOfPlaneBendForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaPiTorsionForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaStretchBendForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaTorsionTorsionForceKernel,29,5,10,14,2,0,1,1,1.40%,0,1,1,5,2,9,3,0,4
OpenMM::CalcAmoebaVdwForceKernel,35,4,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcAmoebaWcaDispersionForceKernel,36,5,11,20,2,0,1,1,1.82%,0,1,1,5,2,10,4,0,5
OpenMM::CalcCMAPTorsionForceKernel,24,0,10,14,2,0,1,1,1.40%,0,1,1,5,5,9,3,0,4
OpenMM::CalcCustomAngleForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,5,10,4,0,5
OpenMM::CalcCustomBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,5,10,4,0,5
OpenMM::CalcCustomCompoundBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,5,10,4,0,5
OpenMM::CalcCustomExternalForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,5,10,4,0,5
OpenMM::CalcCustomGBForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,5,4,10,4,0,5
OpenMM::CalcCustomHbondForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,5,5,10,4,0,5
OpenMM::CalcCustomManyParticleForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,5,4,10,4,0,5
OpenMM::CalcCustomNonbondedForceKernel,36,0,16,20,2,0,1,1,1.25%,0,1,1,5,6,10,4,0,5
OpenMM::CalcCustomTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,5,10,4,0,5
OpenMM::CalcDrudeForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,3,10,4,0,5
OpenMM::CalcForcesAndEnergyKernel,37,0,11,26,2,0,1,1,2.36%,0,1,1,4,6,10,4,0,5
OpenMM::CalcGBSAOBCForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,4,10,4,0,5
OpenMM::CalcGBVIForceKernel,25,0,10,15,2,0,1,1,1.50%,0,1,1,5,1,9,3,0,4
OpenMM::CalcHarmonicAngleForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,5,10,4,0,5
OpenMM::CalcHarmonicBondForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,5,10,4,0,5
OpenMM::CalcNonbondedForceKernel,40,0,18,22,2,0,1,1,1.22%,0,1,1,5,6,10,4,0,5
OpenMM::CalcPeriodicTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,6,10,4,0,5
OpenMM::CalcPmeReciprocalForceKernel,50,0,17,33,2,0,1,1,1.94%,0,1,1,3,1,10,4,0,5
OpenMM::CalcPmeReciprocalForceKernel::IO,16,0,5,11,0,0,0,0,2.20%,0,0,0,0,4,2,2,0,2
OpenMM::CalcRBTorsionForceKernel,31,0,11,20,2,0,1,1,1.82%,0,1,1,5,6,10,4,0,5
OpenMM::CMAPTorsionForce,176,0,95,81,5,0,1,3,0.85%,60,1,1,4,0,17,10,2,10
OpenMM::CMAPTorsionForce::CMAPTorsionInfo,10,0,10,0,3,0,1,1,0.00%,0,0,0,0,0,2,2,9,2
OpenMM::CMAPTorsionForce::MapInfo,11,0,11,0,3,0,1,1,0.00%,25,0,0,1,0,2,2,2,2
OpenMM::CMAPTorsionForceImpl,133,10,114,10,13,0,2,16,0.09%,65,1,1,9,0,18,9,2,10
OpenMM::CMAPTorsionForceProxy,58,0,58,0,17,0,4,7,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::CMMotionRemover,28,0,19,9,2,0,1,1,0.47%,25,1,1,2,0,11,4,1,4
OpenMM::CMMotionRemoverImpl,35,0,34,2,3,0,1,1,0.06%,57,1,1,8,0,15,7,2,7
OpenMM::CMMotionRemoverProxy,29,0,29,0,7,0,2,4,0.00%,0,1,1,4,0,17,3,0,3
OpenMM::CompiledExpressionSet,47,0,35,12,6,0,2,5,0.34%,41,0,0,3,0,4,4,3,4
OpenMM::Context,416,13,228,175,8,0,1,12,0.77%,56,0,0,12,0,33,33,2,33
OpenMM::ContextImpl,564,26,364,174,10,0,2,23,0.48%,89,0,0,17,0,39,38,16,39
OpenMM::Continuous1DFunction,69,0,39,30,7,0,2,3,0.77%,42,1,1,2,0,9,7,3,7
OpenMM::Continuous1DFunctionProxy,29,0,29,0,7,0,2,3,0.00%,0,1,1,3,0,17,3,0,3
OpenMM::Continuous2DFunction,105,0,60,45,12,0,3,5,0.75%,42,1,1,2,0,9,7,7,7
OpenMM::Continuous2DFunctionProxy,35,0,35,0,9,0,2,3,0.00%,0,1,1,3,0,17,3,0,3
