hash,time,message
e59e6f9,Mon Aug 26 15:11:28 2013,Fixed bug in RPMD when using contractions
c010cff,Mon Aug 26 11:41:05 2013,Merge pull request #121 from peastman/master
cf66c67,Mon Aug 26 11:40:12 2013,Fixed bug in Fortran header
f915b68,Fri Aug 23 10:26:03 2013,Merge pull request #118 from rmcgibbo/clplatformselect
acf7db6,Fri Aug 23 10:18:34 2013,Merge pull request #119 from rmcgibbo/staging
7e8da78,Thu Aug 22 21:01:17 2013,Stage python app tests in the build directory
eed3efb,Thu Aug 22 20:26:08 2013,tab to space
27b802c,Thu Aug 22 20:24:09 2013,bugfixes to previous commit
576eb90,Thu Aug 22 19:51:27 2013,initial commit on this idea
193c8d9,Wed Aug 21 14:55:40 2013,Merge pull request #116 from peastman/master
8edf13a,Wed Aug 21 14:54:20 2013,Some example files were not being installed
b18c82c,Wed Aug 21 13:22:14 2013,Merge pull request #115 from rmcgibbo/py3
3bbbeb8,Tue Aug 20 16:29:21 2013,cpuid() works correctly on both 32 and 64 bit OSes
a8ff237,Tue Aug 20 13:59:56 2013,Fixed a compilation error on some OSes
6e89e06,Mon Aug 19 20:10:59 2013,force integer division
260b959,Mon Aug 19 19:33:03 2013,2to3 fixes for argon-chemical-potential
443dceb,Mon Aug 19 19:28:03 2013,make testInstallation py2/3
7dd882e,Mon Aug 19 17:32:56 2013,Merge pull request #114 from rmcgibbo/modeller-context
f36b808,Mon Aug 19 12:27:08 2013,del the context after its call in addHydrogens
8f9f824,Mon Aug 19 11:49:23 2013,Merge pull request #113 from peastman/master
e0b8e2a,Mon Aug 19 11:48:41 2013,Documentation updates for 5.2.
8dbe142,Mon Aug 19 11:12:50 2013,Merge pull request #112 from peastman/master
b4b121b,Mon Aug 19 11:11:43 2013,Fixed deserialization error caused by SWIG not setting the object ownership flag (see bug 1902)
25f1852,Mon Aug 19 10:49:59 2013,Merge pull request #111 from peastman/master
8f79f59,Mon Aug 19 10:22:41 2013,Merge branch 'master' of https://github.com/peastman/openmm
5e078fd,Mon Aug 19 10:21:59 2013,Fixed bug in RPMD contractions
cf99020,Fri Aug 16 12:54:40 2013,Merge pull request #110 from peastman/master
26c51a0,Fri Aug 16 12:53:14 2013,Fixed numeric problems using PME with Drude particles
80dde42,Thu Aug 15 14:49:41 2013,Merge pull request #109 from peastman/master
f4f5b56,Thu Aug 15 14:48:43 2013,Avoid nans when using PME with Drude particles
68632d7,Thu Aug 15 12:17:41 2013,Merge pull request #108 from peastman/master
8f6d3ec,Thu Aug 15 12:16:57 2013,PDBFile was using the wrong data type for its unit cell dimensions
0c66188,Thu Aug 15 11:52:23 2013,Merge pull request #107 from peastman/master
d74c8d0,Thu Aug 15 11:43:14 2013,Fixed an overly sensitive test case that tended to fail
0162293,Thu Aug 15 10:55:10 2013,Fixed crash due to a kernel's arguments having changed
56323ff,Thu Aug 15 10:48:45 2013,Fixed bug under certain compilers
af40859,Wed Aug 14 17:36:38 2013,Merge pull request #106 from peastman/master
751e7a3,Wed Aug 14 17:25:05 2013,Improvements to Gromacs file processing
246f012,Wed Aug 14 15:11:41 2013,Merge pull request #105 from peastman/master
4b12994,Wed Aug 14 15:10:33 2013,Simplified reference platform code for processing nonbonded exclusions
21fc406,Wed Aug 14 14:52:38 2013,simtk.openmm.__version__ always matches the OpenMM version number
98772b9,Wed Aug 14 14:03:34 2013,Merge pull request #104 from peastman/master
922bda9,Wed Aug 14 13:51:57 2013,Fixed compilation errors on Windows
e7233c7,Wed Aug 14 12:13:19 2013,Fixed the C and Fortran wrappers  which were broken by the addition of interaction groups
c4403e7,Tue Aug 13 20:37:53 2013,Merge pull request #98 from peastman/groups
a11a0a5,Tue Aug 13 15:27:44 2013,Implemented long range correction for interaction groups
b2af59a,Tue Aug 13 13:07:24 2013,Bug fixes to interaction groups
4ea1096,Thu Aug 8 16:25:34 2013,Finished OpenCL implementation of interaction groups
54c0ca3,Thu Aug 8 11:29:06 2013,Began creating OpenCL implementation of CustomNonbondedForce interaction groups
aba74fd,Wed Aug 7 15:40:23 2013,Bug fixes and an optimization to CustomNonbondedForce with interaction groups
5aebb61,Wed Aug 7 14:44:45 2013,Fixed Python API for CustomNonbondedForce.addInteractionGroup()
0961126,Wed Aug 7 13:33:17 2013,Created CUDA implementation of restricting CustomNonbondedForce to selected interaction groups
9840ca7,Mon Aug 5 13:04:42 2013,Created API and reference implementation of restricting CustomNonbondedForce to selected interaction groups
ce8d6a2,Fri Aug 2 16:26:23 2013,Merge pull request #94 from peastman/master
615ab13,Fri Aug 2 16:24:19 2013,Merge branch 'master' of https://github.com/peastman/openmm
01f2108,Fri Aug 2 16:22:46 2013,Fixed compilation error on Windows
c04bc13,Fri Aug 2 16:11:31 2013,Fixed compilation errors on compilers that do not enable SSE by default
7541ca0,Fri Aug 2 14:50:25 2013,Merge pull request #93 from peastman/master
54ef6b4,Fri Aug 2 14:48:31 2013,Get the version number from the CMake script
9d11ced,Fri Aug 2 14:02:04 2013,Merge pull request #89 from rmcgibbo/gitversion
c29c1d5,Fri Aug 2 11:54:01 2013,Merge pull request #92 from peastman/master
8060c45,Fri Aug 2 11:52:50 2013,Merge branch 'master' of https://github.com/SimTk/openmm
9305579,Fri Aug 2 11:52:35 2013,Speed optimization to GromacsTopFile
ea65f7c,Fri Aug 2 11:51:12 2013,Merge pull request #87 from peastman/molecules
01e5d92,Thu Aug 1 16:50:57 2013,Merge pull request #90 from peastman/master
d1d7400,Thu Aug 1 16:48:25 2013,Moved Python app layer tests into the main source tree
4ed33ef,Thu Aug 1 16:18:10 2013,dont want to double quote
509373c,Thu Aug 1 16:14:04 2013,create a simtk.openmm.version module that contains the git revision
52c444c,Thu Aug 1 12:19:29 2013,Merge pull request #85 from peastman/templates
b2d5520,Thu Aug 1 12:17:46 2013,Converted the routine for identifying molecules from a recursion to a loop.  This avoids stack overflows with very long linear molecules.
16b5edb,Wed Jul 31 13:58:58 2013,Handle extra particles correctly when guessing why no template matched a residue.
9e09ca6,Wed Jul 31 13:37:47 2013,ForceField tries to figure out why no residue matched a template
818dc73,Wed Jul 31 13:19:52 2013,Merge pull request #84 from peastman/cache
bf34e94,Tue Jul 30 15:49:17 2013,Can set OPENMM_CACHE_DIR to specify where PTX files should be cached
50eb44c,Tue Jul 30 11:39:59 2013,Eliminated some #defines to improve the efficiency of PTX caching
00f5154,Mon Jul 29 17:14:57 2013,Cache filename specifies whether it was compiled in 32 or 64 bit mode
d7aebd3,Mon Jul 29 13:15:07 2013,Cache the PTX files for compiled kernels
6144a88,Mon Jul 29 10:59:42 2013,Merge pull request #82 from rmcgibbo/setLength
2ad438b,Fri Jul 26 23:35:58 2013,Fix segfault when positions are not 3 dimensional.
1c3d149,Fri Jul 26 17:38:33 2013,Merge pull request #80 from peastman/master
e1c332d,Fri Jul 26 17:37:38 2013,Lots of updates to documentation for new features in 5.2.
9076fe4,Fri Jul 26 14:21:44 2013,Merge pull request #79 from peastman/master
927480f,Fri Jul 26 14:18:49 2013,Merge branch 'master' of https://github.com/peastman/openmm
187ccbb,Fri Jul 26 14:18:24 2013,Added an argument to addHydrogens() for selecting which Platform to use for minimization.  Also marked convertWater() as deprecated.
adf78fa,Fri Jul 26 13:01:26 2013,Merge pull request #78 from peastman/master
71b66a9,Fri Jul 26 12:57:33 2013,Include process ID in temporary file names to avoid collisions
80e3503,Fri Jul 26 10:58:43 2013,Merge pull request #76 from peastman/master
cf99e9e,Fri Jul 26 10:40:37 2013,Updated to newer version of cl.hpp
e8e7db3,Thu Jul 25 16:26:04 2013,Merge pull request #75 from peastman/master
09efc33,Thu Jul 25 16:25:30 2013,Added SWM4-NDP water model
1cf3d58,Thu Jul 25 16:24:55 2013,Merge pull request #74 from peastman/master
843076a,Thu Jul 25 15:41:52 2013,Changed order of arguments to produce a simpler API
3b2ee9b,Tue Jul 23 16:37:55 2013,Merge pull request #72 from peastman/master
73fdc08,Tue Jul 23 16:36:37 2013,__all__ should not include symbols that start with _
b788fdd,Mon Jul 22 12:03:04 2013,Merge pull request #66 from rmcgibbo/buffering
bc9f1c6,Mon Jul 22 11:40:48 2013,add flush instructions
99df675,Mon Jul 22 10:49:46 2013,Merge pull request #69 from rmcgibbo/pickle2-vec3
1d1d139,Mon Jul 22 10:41:24 2013,Merge pull request #68 from rmcgibbo/getIntegrator-typemap2
d133440,Sun Jul 21 23:28:28 2013,Add support for pickle protocol 2 for Vec3
3c1bf2c,Sun Jul 21 19:22:30 2013,return correct subtype for getIntegrator()
cd4b69b,Sat Jul 20 21:44:01 2013,Changed statedatareporter to not buffer its outstream
49cb91c,Fri Jul 19 17:06:13 2013,Merge pull request #64 from peastman/bugs
1c6bea7,Fri Jul 19 15:00:26 2013,Improved logic for picking grid size
dcee814,Fri Jul 19 14:51:26 2013,Prevent test case from crashing if the CPU is not supported
2413fd8,Fri Jul 19 14:47:00 2013,Fixed error that caused testInstallation.py to fail when the GPU was configured in exclusive mode
fdce64f,Fri Jul 19 14:21:49 2013,Merge pull request #63 from peastman/master
603683e,Fri Jul 19 14:20:41 2013,Fixed a bug in CustomIntegrator related to atom reordering
3a2299a,Fri Jul 19 10:12:07 2013,Merge pull request #60 from peastman/embedded
958b6ec,Thu Jul 18 11:17:24 2013,Fix bug in CMake script
451d8c5,Thu Jul 18 10:27:46 2013,Changed CMake scripts to work correctly if the FFTW threading support was built into the main library instead of a separate library
60307de,Thu Jul 18 10:12:21 2013,Merge pull request #59 from rmcgibbo/enumrepr
9a5ecd8,Wed Jul 17 18:13:13 2013,Add __repr__ to enums  so that we can print them easily in scripts/python
8d9ef56,Tue Jul 16 17:41:02 2013,Fixed compilation problems on Windows
6c61ddf,Tue Jul 16 12:54:34 2013,Bug fixes
892d228,Tue Jul 16 11:02:18 2013,Removed requirement that default device support double precision
eb4f58d,Tue Jul 16 10:58:11 2013,Eliminated compilation errors on devices that don't support 64 bit integers
d080036,Tue Jul 16 10:54:04 2013,Work correctly on devices with SIMD width less than 32
df2cd75,Tue Jul 16 10:52:56 2013,Fixed errors running on CPU
6d7f027,Tue Jul 16 10:32:46 2013,Improved integration accuracy on devices that don't support double precision
0190d1e,Mon Jul 15 15:19:58 2013,Merge pull request #58 from peastman/master
0997063,Mon Jul 15 11:38:43 2013,RPMDIntegrator.setPositions() did not take periodic box offsets into account
3867d04,Fri Jul 12 17:31:43 2013,Merge pull request #54 from leeping/master
74415dd,Fri Jul 12 17:13:22 2013,Merge branch 'master' of https://github.com/SimTk/openmm
25c2204,Fri Jul 12 17:11:44 2013,Removed an if statement that was causing addHydrogens() to fail for systems containing OH groups.
6701dac,Fri Jul 12 15:25:12 2013,Merge pull request #12 from leeping/master
604a853,Fri Jul 12 15:21:23 2013,Changed some includes in test cases
49d6023,Fri Jul 12 15:12:03 2013,Merge branch 'master' of https://github.com/leeping/openmm
3a2f464,Fri Jul 12 15:04:13 2013,Cleanup and bugfixes to MonteCarloAnisotropicBarostat
c507f56,Fri Jul 12 15:00:32 2013,Merge pull request #53 from jlmaccal/fix-whitespace
4941cc7,Fri Jul 12 13:33:34 2013,Removed trailing whitespace
3862202,Fri Jul 12 13:30:04 2013,Merge branch 'upstream' into fork
5587fac,Thu Jul 11 18:03:02 2013,Merge https://github.com/SimTk/openmm
73882ac,Thu Jul 11 17:26:01 2013,Merge pull request #51 from leeping/hydxmlfix
e1f8c0b,Thu Jul 11 17:20:03 2013,Fixed ACE and NME groups for modeller.
7a55f02,Thu Jul 11 16:27:10 2013,Reverted testInstallation.py
abb5e39,Thu Jul 11 16:19:56 2013,Implemented Einstein crystal unit tests  deleted ice unit test
c020741,Wed Jul 10 13:38:05 2013,Merge pull request #48 from peastman/master
3279efe,Wed Jul 10 13:36:50 2013,Merge pull request #47 from peastman/headers
7c4170d,Wed Jul 10 01:44:03 2013,Merge branch 'master' into vec3api
511f3c3,Wed Jul 10 01:23:43 2013,Implemented unit tests for MonteCarloAnisotropicBarostat
e4beb29,Tue Jul 9 11:58:49 2013,AmoebaMultipoleForce did not report particle groups  which could potentially lead to incorrect reordering
8e725a7,Tue Jul 9 01:22:26 2013,Merge branch 'master' of https://github.com/SimTk/openmm
a4cfb12,Tue Jul 9 01:21:28 2013,Merge branch 'master' of https://github.com/SimTk/openmm into vec3api
c85acb3,Tue Jul 9 01:21:04 2013,Begin implementing unit tests for anisotropic barostat.
0534520,Mon Jul 8 16:38:34 2013,Merge branch 'headers' of https://github.com/peastman/openmm into headers
300758a,Mon Jul 8 16:34:35 2013,Platform specific header files get installed.  This allows plugins to be built with just an OpenMM installation  not a full source tree.
0e5073c,Mon Jul 8 15:00:21 2013,Merge pull request #46 from peastman/master
b8b0097,Mon Jul 8 12:07:10 2013,Only enable shuffle optimization on CUDA 5.5 or later
a950d69,Mon Jul 8 11:01:44 2013,Merge pull request #44 from peastman/gle
bf3def1,Sun Jul 7 23:25:22 2013,Merge branch 'master' of https://github.com/SimTk/openmm into vec3api
4334eca,Sun Jul 7 23:22:27 2013,Merge branch 'master' of https://github.com/SimTk/openmm
9c04fe2,Fri Jul 5 16:05:19 2013,More bug fixes to handling of random numbers by CustomIntegrator
905ed7b,Fri Jul 5 14:38:37 2013,Further cleanup to handling of random numbers by CustomIntegrator
cc279e9,Fri Jul 5 13:22:59 2013,Fixed bugs in handling of random numbers in CustomIntegrator (see bug 1883).
7844aa0,Fri Jul 5 11:10:56 2013,Merge pull request #38 from peastman/master
7ba1a10,Fri Jul 5 10:44:42 2013,Merge branch 'master' of https://github.com/SimTk/openmm
7253aca,Fri Jul 5 10:43:51 2013,Merge pull request #39 from rmcgibbo/numpy-compatibility
9349f49,Wed Jul 3 19:11:36 2013,one more change to the numpy code. last commit was bad
d89beb8,Wed Jul 3 14:47:19 2013,Merge pull request #40 from rmcgibbo/swigregister
bd23205,Wed Jul 3 13:49:29 2013,Add an __all__ to openmm.py so that XXX_swigregister functions don't get imported
196d01b,Wed Jul 3 12:58:56 2013,move after the unitstrip
c698141,Wed Jul 3 12:13:24 2013,Expression parser tolerates a + in front of an exponent
b460786,Wed Jul 3 11:44:09 2013,convert numpy arrays to lists in stripUnits
73f7c14,Mon Jul 1 10:41:02 2013,Merge pull request #36 from peastman/master
f8dd519,Mon Jul 1 10:34:04 2013,Fixed bug in calling acos() function.
b1d621b,Mon Jul 1 08:53:27 2013,Merge pull request #32 from peastman/pme
cce1ca8,Mon Jul 1 08:53:16 2013,Merge pull request #33 from peastman/master
b63835e,Fri Jun 28 15:53:53 2013,Disable reaction field when using implicit solvent (see bug 1881)
794ab9a,Fri Jun 28 14:27:01 2013,If FFTW is not found  default to not building the PME plugin.
9e74c18,Fri Jun 28 14:00:40 2013,CPU FFT selects grid dimensions that can be handled efficiently.  Also lots of minor cleanup.
f254861,Thu Jun 27 13:56:54 2013,OpenCL platform can use the CPU based PME
3628d97,Thu Jun 27 11:58:24 2013,Created a dedicated test case for CPU based PME
d942ac2,Thu Jun 27 11:26:43 2013,Created platform property for specifying whether to use the CPU based PME
79cb699,Thu Jun 27 10:56:34 2013,Merge branch 'vec3api' of github.com:leeping/openmm into vec3api
6077ee4,Thu Jun 27 10:55:50 2013,Merge branch 'master' of https://github.com/SimTk/openmm into vec3api
8ed07b6,Thu Jun 27 10:55:32 2013,Removed AVX code  since it had very little effect on performance and would have required a more complicated build process.  Also worked around a compilation error with clang.
f91a528,Thu Jun 27 10:55:22 2013,Merge branch 'master' of https://github.com/SimTk/openmm
e249751,Wed Jun 26 16:03:36 2013,Further optimizations to CPU based PME
041f973,Wed Jun 26 14:18:00 2013,Bug fixes and minor optimizations
d952c8a,Tue Jun 25 16:44:18 2013,Merge pull request #31 from peastman/master
634a213,Tue Jun 25 14:23:37 2013,Improved accuracy of SETTLE in mixed precision
f623f01,Tue Jun 25 14:19:39 2013,Created AVX version of charge spreading.  Also fixed incorrect energy computation.
dcfd5c0,Mon Jun 24 16:30:51 2013,Optimized reciprocal space convolution by caching scale factors
06fa089,Mon Jun 24 15:04:20 2013,Fixed compilation errors on Linux
efee2f8,Mon Jun 24 14:41:51 2013,Merge branch 'pme' of https://github.com/peastman/openmm into pme
4eb7213,Mon Jun 24 14:41:00 2013,File missed in last checkin
68f8aed,Mon Jun 24 14:39:45 2013,Merge branch 'pme' of https://github.com/peastman/openmm into pme
5e0b0e3,Mon Jun 24 14:35:29 2013,Moved CPU based PME to a separate plugin
932a61b,Fri Jun 21 15:15:40 2013,Connected CPU based PME to CUDA platform
e1a4e01,Fri Jun 21 15:09:05 2013,"Revert ""Changed gb settings to use strings rather than named constants."""
4092907,Fri Jun 21 14:40:36 2013,Merge branch 'upstream' into fork
56c071c,Fri Jun 21 11:29:45 2013,Fixed threading problems in CPU based PME
ff8edf2,Fri Jun 21 11:04:44 2013,Merge pull request #27 from jlmaccal/fix-sysroot
823ad16,Thu Jun 20 16:56:44 2013,Continuing to implement CPU based PME
4572d2e,Thu Jun 20 16:52:49 2013,Changed gb settings to use strings rather than named constants.
1e9099c,Thu Jun 20 11:22:22 2013,Fixed Python wrapper for specifying the pressure as a Vec3
684ba72,Wed Jun 19 14:00:22 2013,Parallelized charge spreading for CPU based PME.
58e0996,Tue Jun 18 11:44:10 2013,Parallelized the reciprocal convolution and force interpolation.
54a9354,Mon Jun 17 11:42:40 2013,Optimizations and bug fixes to CPU based PME
cf1070b,Fri Jun 14 14:40:18 2013,Continuing to implement CPU based PME
3d85521,Thu Jun 13 15:58:59 2013,Merge branch 'master' of https://github.com/SimTk/openmm into vec3api
ca48969,Thu Jun 13 15:56:12 2013,Merge branch 'master' of https://github.com/SimTk/openmm
9d03dbb,Thu Jun 13 14:32:35 2013,Merge pull request #24 from peastman/master
84acc13,Thu Jun 13 13:31:41 2013,Fixed bugs in addExtraParticles()
ca74ebb,Thu Jun 13 12:18:28 2013,Python wrapper for getVirtualSite() returns the correct subclass
82036a8,Thu Jun 13 11:51:14 2013,Merge branch 'master' of https://github.com/SimTk/openmm
484472c,Thu Jun 13 11:50:05 2013,Began implementing CPU based PME
960d201,Wed Jun 12 22:21:18 2013,Remove hardcoded osx sysroot
05d0b6b,Wed Jun 12 18:09:14 2013,Merge branch 'master' of https://github.com/SimTk/openmm into vec3api
527cc49,Wed Jun 12 16:41:40 2013,Compiles
93e8186,Wed Jun 12 16:35:46 2013,Placed MonteCarloAnisotropicBarostat into separate files
3dbc4f7,Wed Jun 12 15:05:18 2013,Using a const Vec3& instead of three doubles for the AnisotropicBarostat API.  Still figuring out SWIG issues.
5f144c2,Wed Jun 12 13:53:30 2013,Merge pull request #20 from rmcgibbo/pdb-overflow
b4c5247,Wed Jun 12 13:10:38 2013,change error
58786bc,Wed Jun 12 12:13:18 2013,fix negative sign issue  and gracefully degrade precision by lopping off decimal places
c023f4c,Tue Jun 11 17:36:27 2013,Fixed documentation mistake (thanks Robert)
3261df6,Tue Jun 11 16:16:23 2013,Avoid writing malformed output when the positions are too large.
2ca9625,Wed Jun 5 22:47:29 2013,Merge branch 'master' of https://github.com/SimTk/openmm
4cf9f9d,Tue Jun 4 14:16:07 2013,Merge branch 'master' of https://github.com/peastman/openmm
2ff0b0a,Tue Jun 4 14:15:40 2013,Converted the array containing atom block indices for the neighbor list from ushort2 to int.  This removes the hard limit of 2 million atoms.
712a44c,Tue Jun 4 10:59:19 2013,Merge pull request #17 from peastman/master
7ae8e13,Tue Jun 4 10:16:08 2013,Fixed a bug caused by conflicting definitions of sum()
07ef5c0,Mon Jun 3 16:51:59 2013,Merge pull request #15 from peastman/master
e5cc38c,Mon Jun 3 16:28:45 2013,Improved error messages when an invalid number of contracted beads is specified
bd4876c,Mon Jun 3 11:15:36 2013,Merge pull request #14 from peastman/contraction
6850656,Sat Jun 1 19:26:39 2013,Merge commit '5db397d01dcc667c296d3dca2270874cb0d333bf'
b7a24d6,Sat Jun 1 15:39:09 2013,Removed duplicate kernels  slightly modified API for Python compatibility.
8d95609,Sat Jun 1 05:50:39 2013,Replaced some tabs with spaces
665de79,Sat Jun 1 05:34:51 2013,Code implemented and passes tests
ffdce36,Fri May 31 17:17:13 2013,Created Python API for ring polymer contraction
8656e3b,Fri May 31 15:09:12 2013,Created OpenCL implementation of ring polymer contraction
85bf8e9,Fri May 31 06:11:43 2013,Currently in the middle of implementing new version but not finished yet.
863447a,Thu May 30 17:27:47 2013,Created CUDA implementation of ring polymer contraction
2e0ebb6,Thu May 30 12:12:30 2013,Merge branch 'master' of https://github.com/peastman/openmm
c0ccf9e,Thu May 30 11:22:45 2013,Created API and reference implementation for ring polymer contraction
5db397d,Wed May 29 12:58:22 2013,Merge pull request #13 from proteneer/master
370c840,Wed May 29 12:49:36 2013,add support for long long shuffles
ff4827b,Wed May 29 11:22:08 2013,Changed the variable type of anisotropic from int to bool.
6f09ac0,Wed May 29 10:13:39 2013,Added anisotropic MC barostat option  allowing x  y  and z lattice vectors to change independently.
c589f1c,Tue May 28 17:30:32 2013,Merge pull request #11 from peastman/master
18f78c1,Tue May 28 16:44:35 2013,Integrators control when atom reordering gets done  instead of having it happen automatically when forces are evaluated.  This simplifies some code  and also improves unintuitive behavior with CustomIntegrator.
6943ef5,Fri May 24 16:34:18 2013,Merge pull request #9 from peastman/master
8a8873c,Fri May 24 16:14:13 2013,Enabled shuffle for double precision
33df840,Fri May 24 15:42:07 2013,Fixed bug on pre-Kepler GPUs.  Also simplified code a little bit.
178aa00,Fri May 24 14:43:06 2013,Merge pull request #8 from peastman/DrudeSCFIntegrator
a5dc836,Fri May 24 14:18:24 2013,Include plugins in API documentation
f8f8069,Fri May 24 13:59:41 2013,Added DrudeSCFIntegrator to the Python wrappers
112b199,Fri May 24 13:34:50 2013,Implemented updateParametersInContext() for DrudeForce
16bd660,Fri May 24 10:39:04 2013,Created OpenCL implementation of DrudeSCFIntegrator
c78efcb,Fri May 24 10:01:27 2013,Merge branch 'DrudeSCFIntegrator' of https://github.com/peastman/openmm
08f1039,Thu May 23 21:55:58 2013,Merge pull request #7 from proteneer/master
8e6c118,Thu May 23 21:18:47 2013,Fixed debugging commits
562283d,Thu May 23 19:55:00 2013,minor bug fixes
f4591ca,Thu May 23 19:14:15 2013,bugfix to ifdef conditions in nonbonded.cu
f227666,Thu May 23 18:09:46 2013,Merge branch 'master' of https://github.com/SimTk/openmm
ec39f6f,Thu May 23 18:08:18 2013,nonbonded.cu will now use shuffles on sm_30 or higher
8f5c984,Thu May 23 17:34:12 2013,Created CUDA implementation of DrudeSCFIntegrator
7521da4,Thu May 23 17:07:09 2013,Merge pull request #6 from peastman/master
c5ea0cd,Thu May 23 16:53:43 2013,Fixed linker errors on Windows
ebe2ad9,Wed May 22 18:39:54 2013,Merge pull request #5 from peastman/master
7cbb8a0,Wed May 22 17:50:20 2013,Created DrudeSCFIntegrator  including reference implementation
6a7e559,Wed May 22 15:24:07 2013,Fixed errors in DrudeLangevinIntegrator in mixed or double precision mode
f44890a,Wed May 22 13:30:35 2013,Fixed bug in CustomIntegrator's handling of massless particles (see bug 1871)
4466553,Tue May 21 19:45:08 2013,first working version with shuffle - but breaks lots of existing tests
0faa485,Tue May 21 19:30:50 2013,Merge pull request #4 from peastman/master
c5ad220,Tue May 21 15:10:30 2013,ForceField supports DrudeForce
6185317,Tue May 21 13:48:38 2013,Implemented serialization for Drude plugin
5c99a8f,Mon May 20 18:22:02 2013,Added links into README.md for API references
3258ba2,Mon May 20 17:19:11 2013,Merge pull request #3 from kyleabeauchamp/readme_md
9b88efa,Mon May 20 15:30:11 2013,Added README.md
d10293c,Mon May 20 15:28:14 2013,Added README.md
6f98dd5,Mon May 20 12:04:45 2013,Implemented Modeller.addExtraParticles().  Also some cleanup in ForceField.
7644bc0,Mon May 20 11:10:33 2013,Merge pull request #1 from proteneer/master
faf5e0f,Mon May 20 12:08:45 2013,Updated CMakeLists to deprecate svn info
832e336,Fri May 17 21:57:50 2013,Fixed compilation error on Windows
a9f1690,Fri May 17 19:39:25 2013,Created Python wrapper for Drude plugin
c25b90c,Fri May 17 17:07:13 2013,Fixed incorrect Windows export
aa6abbb,Thu May 16 22:42:55 2013,Added documentation for the GPU nonbonded algorithm.
dd1ae5c,Thu May 16 18:13:02 2013,Added documentation regarding how we construct neighborlists.
f8c98f3,Thu May 16 00:29:09 2013,Created OpenCL implementation of DrudeForce and DrudeLangevinIntegrator
09a8475,Wed May 15 22:10:36 2013,Created CUDA implementation of DrudeForce and DrudeLangevinIntegrator
c7711f7,Wed May 15 00:52:28 2013,Bug fixes to reference implementation of DrudeLangevinIntegrator
